# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr
GO:0000001	p	mitochondrion inheritance	7/1159	10/1159	0.628	3.1e+03	2.27e+03	3.02e+03	1
GO:0000002	e	mitochondrial genome maintenance	11/1159	8/1159	0.646	3.19e+03	2.32e+03	3.11e+03	1
GO:0000003	p	reproduction	8/1159	9/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000009	p	alpha-1,6-mannosyltransferase activity	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000011	p	vacuole inheritance	5/1159	7/1159	0.774	3.82e+03	2.56e+03	3.73e+03	1
GO:0000014	p	single-stranded DNA endodeoxyribonuclease activity	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000015	p	phosphopyruvate hydratase complex	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000018	e	regulation of DNA recombination	8/1159	3/1159	0.225	1.11e+03	1e+03	1.09e+03	1
GO:0000019	p	regulation of mitotic recombination	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000022	e	mitotic spindle elongation	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000023	e	maltose metabolic process	2/1159	0/1159	0.5	2.47e+03	2e+03	2.41e+03	1
GO:0000025	e	maltose catabolic process	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000027	e	ribosomal large subunit assembly	18/1159	13/1159	0.47	2.32e+03	1.89e+03	2.26e+03	1
GO:0000028	p	ribosomal small subunit assembly	5/1159	6/1159	1	4.94e+03	1.82e+03	4.82e+03	1
GO:0000030	p	mannosyltransferase activity	1/1159	8/1159	0.0387	191	182	186	1
GO:0000032	p	cell wall mannoprotein biosynthetic process	3/1159	5/1159	0.726	3.59e+03	2.5e+03	3.5e+03	1
GO:0000034	e	adenine deaminase activity	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000036	e	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000041	p	transition metal ion transport	5/1159	8/1159	0.58	2.87e+03	2.21e+03	2.79e+03	1
GO:0000042	e	protein targeting to Golgi	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000048	e	peptidyltransferase activity	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000049	e	tRNA binding	9/1159	8/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000054	e	ribosomal subunit export from nucleus	22/1159	15/1159	0.32	1.58e+03	1.37e+03	1.54e+03	1
GO:0000055	e	ribosomal large subunit export from nucleus	12/1159	7/1159	0.357	1.77e+03	1.51e+03	1.72e+03	1
GO:0000056	e	ribosomal small subunit export from nucleus	6/1159	5/1159	1	4.94e+03	1.82e+03	4.82e+03	1
GO:0000060	p	protein import into nucleus, translocation	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000061	e	protein import into nucleus, substrate release	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000062	p	fatty-acyl-CoA binding	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000070	p	mitotic sister chromatid segregation	4/1159	4/1159	1	4.94e+03	2.79e+03	4.82e+03	1
GO:0000075	e	cell cycle checkpoint	14/1159	11/1159	0.688	3.4e+03	2.38e+03	3.32e+03	1
GO:0000076	e	DNA replication checkpoint	3/1159	1/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000077	e	DNA damage checkpoint	8/1159	6/1159	0.79	3.9e+03	2.58e+03	3.81e+03	1
GO:0000082	p	G1/S transition of mitotic cell cycle	5/1159	6/1159	1	4.94e+03	1.82e+03	4.82e+03	1
GO:0000083	e	regulation of transcription involved in G1/S transition of mitotic cell cycle	14/1159	3/1159	0.0124	61.4	59.2	59.8	1
GO:0000086	e	G2/M transition of mitotic cell cycle	6/1159	3/1159	0.507	2.51e+03	1.98e+03	2.44e+03	1
GO:0000096	e	sulfur amino acid metabolic process	20/1159	18/1159	0.87	4.3e+03	2.73e+03	4.19e+03	1
GO:0000097	e	sulfur amino acid biosynthetic process	15/1159	14/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000103	p	sulfate assimilation	1/1159	3/1159	0.625	3.09e+03	2.34e+03	3.01e+03	1
GO:0000104	p	succinate dehydrogenase activity	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000105	e	histidine biosynthetic process	5/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000109	e	nucleotide-excision repair complex	3/1159	2/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0000112	e	nucleotide-excision repair factor 3 complex	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000113	e	nucleotide-excision repair factor 4 complex	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000117	e	regulation of transcription involved in G2/M transition of mitotic cell cycle	5/1159	1/1159	0.218	1.08e+03	972	1.05e+03	1
GO:0000118	e	histone deacetylase complex	14/1159	4/1159	0.0303	150	143	146	1
GO:0000120	e	RNA polymerase I transcription factor complex	1/1159	0/1159	1	4.94e+03	2.51e+03	4.82e+03	1
GO:0000121	e	glycerol-1-phosphatase activity	2/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000122	e	negative regulation of transcription from RNA polymerase II promoter	50/1159	21/1159	0.000635	3.14	3.08	3.06	1
GO:0000123	e	histone acetyltransferase complex	22/1159	6/1159	0.00352	17.4	17	17	1
GO:0000124	e	SAGA complex	11/1159	2/1159	0.0221	109	105	106	1
GO:0000126	e	transcription factor TFIIIB complex	3/1159	0/1159	0.25	1.23e+03	1.1e+03	1.2e+03	1
GO:0000131	p	incipient cellular bud site	4/1159	9/1159	0.265	1.31e+03	1.16e+03	1.28e+03	1
GO:0000132	p	establishment of mitotic spindle orientation	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000136	p	alpha-1,6-mannosyltransferase complex	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000139	p	Golgi membrane	11/1159	27/1159	0.0131	64.7	62.4	63.1	1
GO:0000142	p	cellular bud neck contractile ring	2/1159	3/1159	1	4.94e+03	2.72e+03	4.82e+03	1
GO:0000144	p	cellular bud neck septin ring	2/1159	2/1159	1	4.94e+03	3.09e+03	4.82e+03	1
GO:0000147	p	actin cortical patch assembly	3/1159	4/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000149	p	SNARE binding	1/1159	2/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000150	p	recombinase activity	1/1159	1/1159	1	4.94e+03	1.77e+03	4.82e+03	1
GO:0000151	p	ubiquitin ligase complex	7/1159	8/1159	1	4.94e+03	1.77e+03	4.82e+03	1
