# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr
GO:0000001	p	mitochondrion inheritance	7/1159	26/4258	1	4.94e+03	68	4.82e+03	n.a.
GO:0000002	e	mitochondrial genome maintenance	11/1159	30/4258	0.302	1.49e+03	698	1.45e+03	n.a.
GO:0000003	p	reproduction	8/1159	43/4258	0.231	1.14e+03	716	1.11e+03	n.a.
GO:0000009	p	alpha-1,6-mannosyltransferase activity	1/1159	9/4258	0.459	2.27e+03	913	2.21e+03	n.a.
GO:0000011	e	vacuole inheritance	5/1159	16/4258	0.779	3.85e+03	741	3.75e+03	n.a.
GO:0000014	p	single-stranded DNA endodeoxyribonuclease activity	1/1159	5/4258	1	4.94e+03	409	4.82e+03	n.a.
GO:0000015	e	phosphopyruvate hydratase complex	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0000018	e	regulation of DNA recombination	8/1159	19/4258	0.193	953	617	929	n.a.
GO:0000019	p	regulation of mitotic recombination	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0000022	p	mitotic spindle elongation	2/1159	8/4258	1	4.94e+03	658	4.82e+03	n.a.
GO:0000023	e	maltose metabolic process	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0000025	e	maltose catabolic process	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000027	e	ribosomal large subunit assembly	18/1159	31/4258	0.000332	1.64	1.53	1.6	n.a.
GO:0000028	e	ribosomal small subunit assembly	5/1159	11/4258	0.183	906	591	883	n.a.
GO:0000030	p	mannosyltransferase activity	1/1159	39/4258	8.97e-05	0.443	0.419	0.432	n.a.
GO:0000032	p	cell wall mannoprotein biosynthetic process	3/1159	14/4258	0.77	3.81e+03	754	3.71e+03	n.a.
GO:0000034	e	adenine deaminase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000036	e	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000041	p	transition metal ion transport	5/1159	34/4258	0.122	601	427	586	n.a.
GO:0000042	e	protein targeting to Golgi	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0000048	e	peptidyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000049	e	tRNA binding	9/1159	26/4258	0.383	1.89e+03	814	1.84e+03	n.a.
GO:0000054	e	ribosomal subunit export from nucleus	22/1159	44/4258	0.00171	8.45	7.69	8.23	n.a.
GO:0000055	e	ribosomal large subunit export from nucleus	12/1159	25/4258	0.0245	121	99.5	118	n.a.
GO:0000056	e	ribosomal small subunit export from nucleus	6/1159	14/4258	0.227	1.12e+03	708	1.09e+03	n.a.
GO:0000060	e	protein import into nucleus, translocation	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000061	e	protein import into nucleus, substrate release	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000062	e	fatty-acyl-CoA binding	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0000070	p	mitotic sister chromatid segregation	4/1159	18/4258	0.794	3.92e+03	741	3.82e+03	n.a.
GO:0000075	p	cell cycle checkpoint	14/1159	56/4258	0.765	3.78e+03	749	3.68e+03	n.a.
GO:0000076	e	DNA replication checkpoint	3/1159	8/4258	0.456	2.25e+03	920	2.2e+03	n.a.
GO:0000077	e	DNA damage checkpoint	8/1159	25/4258	0.652	3.22e+03	815	3.14e+03	n.a.
GO:0000082	p	G1/S transition of mitotic cell cycle	5/1159	27/4258	0.389	1.92e+03	823	1.87e+03	n.a.
GO:0000083	e	regulation of transcription involved in G1/S transition of mitotic cell cycle	14/1159	24/4258	0.00175	8.65	7.86	8.44	n.a.
GO:0000086	e	G2/M transition of mitotic cell cycle	6/1159	18/4258	0.597	2.95e+03	820	2.88e+03	n.a.
GO:0000096	e	sulfur amino acid metabolic process	20/1159	44/4258	0.00979	48.4	41.8	47.2	n.a.
GO:0000097	e	sulfur amino acid biosynthetic process	15/1159	36/4258	0.0597	295	232	287	n.a.
GO:0000103	p	sulfate assimilation	1/1159	9/4258	0.459	2.27e+03	913	2.21e+03	n.a.
GO:0000104	e	succinate dehydrogenase activity	2/1159	6/4258	0.666	3.29e+03	827	3.21e+03	n.a.
GO:0000105	e	histidine biosynthetic process	5/1159	8/4258	0.0388	192	155	187	n.a.
GO:0000109	p	nucleotide-excision repair complex	3/1159	15/4258	0.772	3.82e+03	742	3.72e+03	n.a.
GO:0000112	e	nucleotide-excision repair factor 3 complex	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0000113	e	nucleotide-excision repair factor 4 complex	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0000117	e	regulation of transcription involved in G2/M transition of mitotic cell cycle	5/1159	6/4258	0.00689	34.1	29.8	33.2	n.a.
GO:0000118	e	histone deacetylase complex	14/1159	25/4258	0.00253	12.5	11.2	12.2	n.a.
GO:0000120	p	RNA polymerase I transcription factor complex	1/1159	5/4258	1	4.94e+03	409	4.82e+03	n.a.
GO:0000121	e	glycerol-1-phosphatase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0000122	e	negative regulation of transcription from RNA polymerase II promoter	50/1159	110/4258	4.59e-05	0.227	0.216	0.221	n.a.
GO:0000123	e	histone acetyltransferase complex	22/1159	39/4258	0.000169	0.835	0.785	0.814	n.a.
GO:0000124	e	SAGA complex	11/1159	20/4258	0.00952	47.1	40.7	45.9	n.a.
GO:0000126	e	transcription factor TFIIIB complex	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0000131	p	incipient cellular bud site	4/1159	56/4258	0.00023	1.13	1.06	1.11	n.a.
GO:0000132	p	establishment of mitotic spindle orientation	1/1159	8/4258	0.691	3.42e+03	774	3.33e+03	n.a.
GO:0000136	p	alpha-1,6-mannosyltransferase complex	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0000139	p	Golgi membrane	11/1159	101/4258	9.49e-05	0.469	0.442	0.457	n.a.
GO:0000142	p	cellular bud neck contractile ring	2/1159	11/4258	0.738	3.65e+03	761	3.55e+03	n.a.
GO:0000144	p	cellular bud neck septin ring	2/1159	9/4258	1	4.94e+03	825	4.82e+03	n.a.
GO:0000147	p	actin cortical patch assembly	3/1159	14/4258	0.77	3.81e+03	754	3.71e+03	n.a.
GO:0000149	p	SNARE binding	1/1159	8/4258	0.691	3.42e+03	774	3.33e+03	n.a.
GO:0000150	e	recombinase activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0000151	p	ubiquitin ligase complex	7/1159	50/4258	0.0369	183	147	178	n.a.
GO:0000152	p	nuclear ubiquitin ligase complex	1/1159	14/4258	0.131	647	452	631	n.a.
GO:0000153	p	cytoplasmic ubiquitin ligase complex	3/1159	12/4258	1	4.94e+03	839	4.82e+03	n.a.
GO:0000154	e	rRNA modification	12/1159	19/4258	0.00109	5.38	4.93	5.24	n.a.
GO:0000159	p	protein phosphatase type 2A complex	1/1159	5/4258	1	4.94e+03	409	4.82e+03	n.a.
GO:0000161	p	MAPK cascade involved in osmosensory signaling pathway	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0000162	e	tryptophan biosynthetic process	3/1159	5/4258	0.128	633	448	617	n.a.
GO:0000164	p	protein phosphatase type 1 complex	1/1159	5/4258	1	4.94e+03	409	4.82e+03	n.a.
GO:0000165	p	MAPK cascade	2/1159	16/4258	0.263	1.3e+03	804	1.27e+03	n.a.
GO:0000166	e	nucleotide binding	289/1159	792/4258	5.06e-10	2.5e-06	2.46e-06	2.44e-06	n.a.
GO:0000171	e	ribonuclease MRP activity	3/1159	8/4258	0.456	2.25e+03	920	2.2e+03	n.a.
GO:0000172	e	ribonuclease MRP complex	3/1159	9/4258	0.711	3.51e+03	771	3.43e+03	n.a.
GO:0000175	p	3'-5'-exoribonuclease activity	2/1159	9/4258	1	4.94e+03	825	4.82e+03	n.a.
GO:0000176	e	nuclear exosome (RNase complex)	6/1159	15/4258	0.257	1.27e+03	789	1.24e+03	n.a.
GO:0000177	p	cytoplasmic exosome (RNase complex)	2/1159	13/4258	0.534	2.64e+03	780	2.57e+03	n.a.
GO:0000178	e	exosome (RNase complex)	6/1159	18/4258	0.597	2.95e+03	820	2.88e+03	n.a.
GO:0000182	p	rDNA binding	2/1159	12/4258	0.531	2.63e+03	786	2.56e+03	n.a.
GO:0000183	p	chromatin silencing at rDNA	5/1159	21/4258	1	4.94e+03	852	4.82e+03	n.a.
GO:0000184	p	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	6/1159	29/4258	0.533	2.63e+03	780	2.57e+03	n.a.
GO:0000186	e	activation of MAPKK activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0000209	p	protein polyubiquitination	5/1159	23/4258	0.646	3.19e+03	811	3.11e+03	n.a.
GO:0000217	e	DNA secondary structure binding	4/1159	12/4258	0.745	3.68e+03	751	3.59e+03	n.a.
GO:0000220	p	vacuolar proton-transporting V-type ATPase, V0 domain	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
