backgrnd_an	backgrnd_int	sample_an
A5Z2X5	9.028611915	
O13297	8.099335278	O13297
O13329	6.773449992	
O13516	7.956590989	
O13525	7.702800907	
O13535	6.918423541	
O13539	7.708446396	
O13563	8.633710785	
O13576	7.749024788	
O13585	7.521517272	
O14455	10.59787062	
O14467	9.870351225	O14467
O43137	8.957875346	
O60200	8.094890197	
O74700	8.732088038	
O75012	7.645294517	
O94742	8.440783181	
P00044	9.077331561	P00044
P00045	7.984072529	
P00127	7.593175263	
P00128	8.937382467	
P00175	7.991093108	
P00330	10.6690378	P00330
P00331	9.191870015	P00331
P00358	9.778404515	P00358
P00359	11.07751325	P00359
P00360	9.794996633	P00360
P00401	7.029748919	
P00410	8.356885941	
P00424	7.714983225	
P00425	8.16527401	
P00427	8.963258799	P00427
P00431	8.874702098	
P00445	10.22005576	P00445
P00447	9.032578472	P00447
P00498	9.603772075	P00498
P00546	8.759660292	
P00549	10.70474233	P00549
P00560	10.74614359	P00560
P00572	7.590774981	
P00635	7.854063012	
P00724	9.264345507	
P00729	8.820391955	
P00812	9.193180274	
P00815	9.532155378	P00815
P00817	9.998999972	P00817
P00830	9.69522768	P00830
P00890	9.430413712	P00890
P00899	9.256356886	P00899
P00912	8.170173674	
P00924	9.837979632	P00924
P00925	10.96978388	P00925
P00927	9.04544034	P00927
P00931	9.389502754	P00931
P00937	8.721010513	P00937
P00942	10.50797724	P00942
P00950	10.74149039	P00950
P00958	9.1775365	P00958
P01094	8.418268138	
P01095	9.720473536	P01095
P01097	8.787800409	
P01098	9.382431317	
P01119	7.612412959	
P01120	8.705359022	P01120
P01123	9.362350508	P01123
P01149	6.808737481	
P02293	9.707391312	P02293
P02309	9.902709813	P02309
P02381	7.900853048	
P02400	10.13668887	
P02406	10.36135002	P02406
P02407	10.64061061	P02407
P02557	9.498351913	
P02829	8.783181536	P02829
P02992	9.354242934	
P02994	10.76849751	P02994
P03871	8.236663199	P03871
P03872	8.082569964	P03872
P03874	7.077404246	
P03879	7.722181297	
P03965	8.871117388	P03965
P04037	9.15402815	P04037
P04046	8.982402406	
P04050	8.688633357	
P04051	7.877411663	
P04076	8.629674581	
P04147	9.828698556	P04147
P04161	8.54616002	
P04387	6.516138577	
P04449	10.45487534	P04449
P04456	10.59595893	P04456
P04650	10.32923512	
P04710	8.785450851	P04710
P04786	7.394294045	
P04801	9.535648502	P04801
P04802	9.639177592	P04802
P04803	7.565481819	P04803
P04806	10.37366584	P04806
P04807	10.21563756	P04807
P04817	6.993237777	
P04819	8.003029471	
P04821	7.661784299	
P04840	10.08019342	P04840
P04911	10.00548081	P04911
P05030	9.965027572	P05030
P05066	6.029221394	
P05150	7.162385156	
P05317	10.44921605	P05317
P05318	10.1520742	
P05319	10.13490988	
P05373	9.066959198	
P05374	8.330028014	P05374
P05453	9.208951675	P05453
P05626	9.064570292	P05626
P05694	9.86581438	P05694
P05737	10.48492591	P05737
P05738	10.46691209	P05738
P05739	10.3823773	P05739
P05740	9.88101355	P05740
P05743	10.64206863	
P05744	10.32356146	P05744
P05745	9.380120754	
P05747	8.975289318	P05747
P05748	10.22279448	P05748
P05749	10.12781723	P05749
P05750	10.39639116	P05750
P05755	10.58103895	P05755
P05756	10.35575793	P05756
P05759	10.33247886	P05759
P05986	7.68479152	
P06100	8.235856569	
P06101	8.876719992	P06101
P06102	8.032779879	
P06103	9.229323408	
P06104	8.223132362	
P06105	9.415390738	P06105
P06106	9.843637599	P06106
P06115	7.187999872	P06115
P06168	10.09802039	P06168
P06169	10.74716312	P06169
P06174	7.803627795	
P06182	7.811561602	
P06197	8.432632622	
P06208	9.248095931	P06208
P06242	7.080806804	
P06243	6.343684249	
P06244	7.89686228	
P06245	8.646256649	
P06367	10.48974761	
P06634	9.46347491	P06634
P06700	7.309289411	
P06701	7.077149795	
P06704	8.288517502	
P06738	9.171463165	P06738
P06773	7.552850654	
P06775	5.572592821	
P06776	7.458834181	
P06777	6.060735603	
P06778	7.590930957	P06778
P06779	7.185003556	
P06780	8.483116378	
P06781	8.137164145	
P06782	8.584704286	
P06784	7.297410309	
P06785	8.667779718	P06785
P06786	7.851386783	P06786
P06787	9.6486722	P06787
P06838	5.585866633	
P06839	7.259761067	
P06843	7.795302891	P06843
P06844	7.254427222	
P07143	8.867196337	
P07149	9.640620548	P07149
P07170	10.03410683	P07170
P07172	8.640898636	
P07213	9.134527718	P07213
P07236	7.666630284	
P07244	9.399327532	P07244
P07245	9.400917723	P07245
P07246	9.472215072	P07246
P07248	7.736268984	P07248
P07250	7.360952968	
P07251	9.735391283	P07251
P07253	8.297475993	P07253
P07255	8.488381478	
P07256	9.194375567	P07256
P07257	9.412326122	P07257
P07258	8.087284391	
P07259	9.34364488	P07259
P07260	9.704879451	P07260
P07262	9.741884001	P07262
P07263	9.247997802	P07263
P07264	9.60539125	P07264
P07266	7.176698846	
P07267	9.53444496	
P07270	7.471892851	
P07271	6.199755177	
P07273	8.633761253	
P07274	9.333386812	
P07275	8.698352868	P07275
P07276	6.315214393	
P07277	8.55216916	
P07278	9.062920264	P07278
P07280	10.41062541	P07280
P07283	9.807562086	P07283
P07284	9.70946501	P07284
P07285	8.396896449	
P07286	7.172310969	
P07342	9.452889951	P07342
P07347	8.90323111	
P07390	5.663437066	
P07560	9.165689376	P07560
P07703	9.088561312	
P07806	9.43381782	P07806
P07807	8.104384671	
P07834	6.841684757	
P07866	6.353723938	
P07884	7.072139563	
P07991	9.333447274	P07991
P08004	7.786957167	
P08018	8.055493007	
P08067	8.902693512	
P08153	6.171463165	
P08417	9.06914989	P08417
P08425	7.276553709	
P08456	8.830537346	
P08458	6.630153176	
P08465	7.648935436	P08465
P08466	8.00479411	
P08518	8.852973784	
P08524	9.379885399	P08524
P08525	8.658240415	
P08536	8.264038226	
P08539	7.950603359	
P08566	9.151798723	P08566
P08593	7.073571728	
P08638	6.285647309	
P08678	7.776403321	
P08679	8.429832996	
P08964	7.439095741	
P09032	8.221283799	
P09064	9.196701112	P09064
P09232	8.730483495	
P09435	7.474827926	P09435
P09436	9.368286885	P09436
P09440	8.780857144	P09440
P09457	9.607036612	P09457
P09547	7.070739563	
P09620	7.911210893	
P09624	9.357477454	P09624
P09733	9.131361989	
P09734	8.47029286	
