sample_an	background_an
P18583	P31946
Q15596	P62258
Q04637	Q04917
O15228	P61981
P01106	P31947
O14686	P27348
P18583	P63104
Q15596	P30443
Q7Z333	P01892
Q147X3	P04439
Q9Y2F5	P13746
Q04637	Q96QU6
Q09472	Q4AC99
Q6W2J9	P30447
O14686	P05534
Q04637	P18462
Q09472	P30450
Q09472	P30512
Q9NVV4	P16188
Q03111	P16189
Q09472	P10314
B4DQL2	P16190
Q3L8U1	P30453
Q9UKV3	P30455
Q15596	P30456
A0AUZ9	P30457
P35611	P01891
A4FU49	P10316
A5PLK6	Q09160
A6NFK2	P30459
A7Y2D6	P01889
P42574	P30460
O14874	P30461
Q8NEB9	P30462
Q16665	P30464
A9IYQ1	P30466
P35914	P03989
B1AK88	P30685
B1AK88	Q95365
O15511	Q04826
Q9UNN5	P30475
Q9UGL1	P30479
B3KXW5	P30480
P46459	P18463
B4DGC9	P30481
B4DLN1	P30483
B4DLN1	P30485
Q9BWT1	P30484
O15498	P30486
Q8N0X4	P30487
B4DYX9	P30488
P51665	P18464
B4DYH1	P30490
B4DYH1	P30491
B4E0Y9	P30493
Q2TAY7	P30495
G3XAA4	P30492
G3XAA4	P18465
G3XAA4	P10319
Q00796	Q29940
Q9NZ52	Q29836
P42568	Q31612
B7Z7Q0	Q31610
Q93009	P30498
B7Z955	Q29718
Q9ULD4	P30499
Q9ULD4	P30501
Q8N4C6	P04222
Q9H992	P30504
P15036	Q9TNN7
Q9Y2M2	Q29963
Q68DE3	P10321
Q68DE3	P30505
Q9ULK2	P30508
Q9H074	P30510
Q9BPZ3	Q29960
Q6DN14	Q07000
Q9NYD6	Q95604
O75920	Q29865
G5EA03	Q15172
Q06265	Q15173
Q9Y620	Q14738
P28328	Q16537
O15347	Q13362
Q9NXR8	P30153
Q9NXR8	P30154
Q9NXR8	P63151
E7ETU7	Q00005
P78527	Q66LE6
Q5VV67	Q9Y2T4
Q5VV67	P04229
Q3SYG4	P01912
Q52LR7	P13760
P29083	P13761
J3KP97	Q30134
Q9Y2Q3	Q9TQE0
E9PHK9	Q30167
E9PHK9	P20039
E9PHK9	Q5Y7A7
E9PHK9	Q95IE3
E9PHK9	Q9GIY3
E9PHK9	P01911
P54105	Q29974
Q96K17	P14060
P17980	P26439
Q14839	Q9H2F3
Q5FWF4	Q9Y3L3
Q76FK4	P78314
Q14152	Q7L8J4
Q8N4S0	O60239
H0YL70	P46952
H0YL70	P31937
H0YL70	P29372
P23467	P11171
F8W031	Q13541
P35580	Q13542
P35579	Q9NRA8
Q641Q2	O60516
P35221	P08195
F8W966	P08908
Q14C86	P28222
Q15417	P28221
Q4L235	P28566
