background_an	sample_an
P38903	P40545
P31383	P09201
Q00362	P14066
P47177	P25040
P47096	P20050
Q12471	P40327
P38720	Q01939
P53319	Q01939
P40433	P38142
P47182	Q01939
Q08361	P53549
P25612	P53549
Q07747	P39959
P43546	P38787
P43547	P38787
P42884	P12684
P12904	P12684
P37898	P38122
P08521	P38122
P32357	P0CX47
P23542	P0CX47
Q01802	P0CX47
Q08641	Q03868
Q02486	Q04004
P14164	Q04383
P47146	P05756
P15891	Q06592
P39970	P05756
P40535	P05756
Q00955	P0CX55
P31787	P0CX55
P21192	P33442
P28240	Q12348
Q12031	P33442
P47129	P23248
P32316	Q12508
Q07622	P33442
Q08981	P33442
P21147	P33442
P39533	P33442
P19414	P25443
P13711	P38701
P32463	P38701
P52910	Q3E754
Q01574	Q3E754
P60010	P32504
Q02336	P0CX29
Q03233	P0CX31
Q2V2Q1	P0CX31
P53909	P0CX31
P00330	P0CX31
P00331	P35997
P07246	P05750
P10127	P05750
Q04894	P05750
P38113	P05750
P25377	P05750
P47143	P0CX37
P25371	P0CX37
Q01976	P0CX37
P07248	Q01926
P48360	Q01926
Q12184	P0CX37
P04710	P0CX37
P18239	P0CX37
P18238	P48164
P25613	P48164
P38872	P48164
Q07732	P48164
Q05955	P0CX39
P32493	P05755
P22136	P05755
Q12089	P05755
P53930	P05755
P32317	P22147
P32794	P22147
Q99222	P22147
P33304	Q02792
P39925	Q02792
P22149	P38256
Q08957	Q02792
P32781	Q02792
P32323	P09950
Q12482	P53148
Q04412	P09950
P40529	P13712
P38628	P28273
P43548	P50861
P25376	P14120
P38090	P0CX84
P43567	P05747
Q12449	P0CX84
P25649	P0CX84
Q12433	P0CX84
P38013	P05737
P03875	P53267
P29589	P05737
P03876	P05737
Q9ZZX0	Q03792
P52923	P05737
P87275	P17076
P53109	P29453
P23180	P25366
P40502	P29453
P38884	P29453
P40451	P29453
P39724	P29453
P40563	P29453
P47015	P29453
P47140	P43586
P47127	P43586
P36154	P43586
P39721	P16861
P32858	P16861
Q03673	P16861
Q04689	P16861
Q08223	P16861
Q04516	P16861
Q03798	P16861
P38266	P16862
Q12032	P53168
P38305	P16862
P38885	P16862
Q99299	P38720
Q12156	P38720
P40053	P38720
Q07716	P25357
P46680	P38720
Q12476	P40019
P40507	P38720
P38080	P38858
