background_int	background_an	sample_an
11,07751325	P00359	P40545
10,96978388	P00925	P09201
10,76849751	P02994	P14066
10,74716312	P06169	P25040
10,74614359	P00560	P20050
10,74149039	P00950	P40327
10,70474233	P00549	Q01939
10,6690378	P00330	Q01939
10,64206863	P05743	P38142
10,64061061	"P02407;P14127"	Q01939
10,63619693	"P0C2H6;P0C2H7"	P53549
10,6231769	"P35997;P38711"	P53549
10,61589747	P29453	P39959
10,59787062	O14455	P38787
10,59595893	P04456	P38787
10,5819724	P14540	P12684
10,58108453	"P0CX84;P0CX85"	P12684
10,58103895	P05755	P38122
10,56810781	"P0CX31;P0CX32"	P38122
10,54364595	"P0CX55;P0CX56"	P0CX47
10,5379072	P38061	P0CX47
10,53665943	"P0C0T4;Q3E792"	P0CX47
10,53411499	Q3E754	Q03868
10,53402611	"P0CX45;P0CX46"	Q04004
10,52973826	"P0CX37;P0CX38"	Q04383
10,50797724	P00942	P05756
10,50224954	"Q3E7X9;P0C0X0"	Q06592
10,49953588	P46990	P05756
10,49950838	P40212	P05756
10,49583562	"Q3E7Y3;P0C0W1"	P0CX55
10,49299772	"P0CX82;P0CX83"	P0CX55
10,48974761	P06367	P33442
10,48818395	P49167	Q12348
10,48492591	P05737	P33442
10,47118899	"P0CX23;P0CX24"	P23248
10,46691209	P05738	Q12508
10,45741254	P23248	P33442
10,45487534	P04449	P33442
10,45266028	P14126	P33442
10,45218525	"P0CX39;P0CX40"	P33442
10,44921605	P05317	P25443
10,44720456	P26786	P38701
10,43476046	"P0CX53;P0CX54"	P38701
10,43276091	P41805	Q3E754
10,43134768	"P0CX25;P0CX26"	Q3E754
10,43068767	"P0CX47;P0CX48"	P32504
10,41462243	"P0CX43;P0CX44"	P0CX29
10,41219166	P10664	P0CX31
10,41101329	P38754	P0CX31
10,41062541	"P07280;P07281"	P0CX31
10,41037227	P46654	P0CX31
10,40866387	"P0CX35;P0CX36"	P35997
10,4028286	P38701	P05750
10,39639116	P05750	P05750
10,3823773	P05739	P05750
10,37979484	"P0CX51;P0CX52"	P05750
10,37571847	P48589	P05750
10,37516961	P14832	P0CX37
10,37366584	P04806	P0CX37
10,37145578	P40150	P0CX37
10,3710309	"P0CX49;P0CX50"	Q01926
10,36135002	P02406	Q01926
10,35719134	P39938	P0CX37
10,35575793	P05756	P0CX37
10,33383001	P0C2H8	P0CX37
10,33247886	"P05759;P0CG63;P0CH08;P0CH09"	P48164
10,32923512	P04650	P48164
10,32387061	P32324	P48164
10,32356146	P05744	P48164
10,32292187	P10081	P0CX39
10,31107541	"P0CX33;P0CX34"	P05755
10,30539437	P10592	P05755
10,29424572	P26783	P05755
10,29230038	P25443	P05755
10,28230483	P14120	P22147
10,26806288	P54115	P22147
10,26717173	P60010	P22147
10,24370759	P34760	Q02792
10,23957474	"P0CX27;P0CX28"	Q02792
10,238999	"P0CX29;P0CX30"	P38256
10,23111263	P26785	Q02792
10,2310361	P15108	Q02792
10,22279448	P05748	P09950
10,22005576	P00445	P53148
10,21976784	Q01855	P09950
10,21563756	P04807	P13712
10,21386293	P41057	P28273
10,20943458	"P40525;P87262"	P50861
10,19868457	P35691	P14120
10,19529066	Q02753	P0CX84
10,1897429	P12709	P05747
10,18361145	"P0CX41;P0CX42"	P0CX84
10,17868924	P16521	P0CX84
10,1520742	P05318	P0CX84
10,15170686	P26321	P05737
10,14872602	P41058	P53267
10,13868155	P23301	P05737
10,13668887	P02400	P05737
10,13643517	P41277	Q03792
10,13490988	P05319	P05737
10,12794664	P39954	P17076
10,12781723	P05749	P29453
10,11487775	Q08245	P25366
10,11136334	P39015	P29453
10,10397467	P29311	P29453
10,09802039	P06168	P29453
10,08019342	P04840	P29453
10,07371835	P22943	P29453
10,07302145	P38011	P29453
10,05602776	P12398	P43586
10,03410683	P07170	P43586
10,03294094	P40185	P43586
10,01711685	P41940	P16861
10,01586251	P38720	P16861
10,0094509	P36008	P16861
10,00719282	P19882	P16861
10,00548081	"P04911;P04912"	P16861
10,00384812	P38013	P16861
10,00151738	P38879	P16861
9,998999972	P00817	P16862
9,995959697	P32589	P53168
9,994418344	P22217	P16862
9,979653066	P32471	P16862
9,973506541	P37291	P38720
9,965027572	P05030	P38720
9,961757957	P46367	P38720
9,945118842	P46784	P25357
9,941804507	Q03558	P38720
9,931132282	P17709	P40019
9,925879089	P31787	P38720
9,920410325	P39004	P38858
9,909395546	P38910	Q00955
9,908533271	Q03048	Q00955
9,902709813	P02309	P38087
9,889716186	P61830	Q06411
9,885875509	P16140	P32901
9,885451689	P23254	Q00955
9,88101355	P05740	P09435
9,873431051	P41920	Q00955
9,870351225	O14467	P06115
9,86581438	P05694	Q00955
9,853606964	P15019	Q00955
9,852473894	P38219	P32639
9,849793962	P48836	P02309
9,845965762	P11076	Q00955
9,843637599	P06106	P60010
9,840795899	P17255	P02309
9,839616296	P20081	Q12329
9,838597253	P31373	P32499
9,837979632	P00924	Q04170
9,834083565	P49723	P32190
9,828698556	P04147	P46678
9,821893288	P15992	Q05123
9,817486039	P17967	P80428
9,813447544	"P0C0W9;Q3E757"	P53946
9,807562086	P07283	P53946
9,801328234	P48164	P53909
9,800270185	P32582	P47143
9,794996633	P00360	P47143
9,794975744	P17695	Q12408
9,793385227	P36010	P47143
9,792069351	Q02326	P39954
9,781748196	P33331	P39954
9,781468143	P32836	P39954
9,778404515	P00358	P39954
9,769783364	P26784	P07170
9,765638757	P38788	P07170
9,762528522	P32527	P25357
9,760603402	P47143	P07170
9,758457689	P15180	P07170
9,748715065	P24000	P07170
9,745168514	P10622	P24384
9,741884001	P07262	P38266
9,736985787	P22203	Q05911
9,735391283	P07251	P25357
9,725780998	P17505	Q05911
9,720473536	P01095	Q05911
9,715527029	Q3E764	P80210
9,714413592	P38264	Q12495
9,713305698	P40046	P34219
9,711571044	P19358	P25582
9,711047604	P46655	P04710
9,70946501	P07284	P40019
9,707391312	"P02293;P02294"	P40825
9,705726905	P46672	P53079
9,704879451	P07260	P40825
9,699334659	P16120	P40825
9,696993818	P38248	P40825
9,69522768	P00830	P40825
9,69466661	P31116	Q12118
9,690718691	P16965	P38198
9,688846787	P32449	P40825
9,686198179	P39726	P00330
9,68038991	P17536	P00330
9,6778897	P39676	P00330
9,674796864	P13663	P00330
9,66927968	Q07478	P00330
9,668162188	P25087	P00330
9,667182018	Q12363	P00330
9,663144748	Q12230	P25357
9,663078713	Q02642	Q12447
9,66184107	P22803	P00330
9,659859177	P10080	P00330
9,651888312	P16861	P00330
9,650365814	Q12159	Q12287
9,649110837	Q12335	P25357
9,6486722	P06787	P00331
9,647764278	P15454	P19812
9,647539444	P52489	P00331
9,644064206	P29509	P00331
9,640620548	P07149	P00331
9,639177592	P04802	P00331
9,634104282	P25491	P09435
9,633145139	Q12074	P07246
9,632578756	P16474	Q02961
9,622328023	P37012	P07246
9,61911421	Q12305	Q03388
9,612836816	Q07551	P07246
9,609647759	P16862	P07246
9,607036612	P09457	P07246
9,60657482	P15646	P07246
9,60539125	P07264	P32454
9,605132587	P50861	P32454
9,604938489	P53981	P32454
9,603804518	Q06177	P32454
9,603772075	P00498	P32454
9,602157697	Q6Q547	P32454
9,600711587	P53252	P32454
9,599173217	P19097	Q02775
9,598954567	P25694	P00899
9,59782677	P20606	P00937
9,59505509	P32861	P25357
9,59488955	"P38088;P38088-2"	Q2V2Q1
9,591320654	P49090	P33891
9,59018399	P53221	Q08981
9,589871444	P0C2I9	Q05506
9,581346527	P10591	Q05506
9,579509219	P33442	P14164
9,578329708	Q12118	P14164
9,574864314	P32481	P14164
9,571825249	P28241	P25617
9,564760723	P18239	Q02486
9,564618727	P19414	Q02486
9,564524037	P17076	Q07914
9,563469219	P39522	Q02486
9,560444673	P53090	Q02486
9,558528577	Q04947	Q02486
9,556109438	Q12447	Q02486
9,553822367	P52910	P25357
9,553215301	P14020	Q02486
9,552680381	P28272	P49089
9,544849072	P53184	P41696
9,542227705	Q05775	Q12751
9,541329578	P12962	P0CX23
9,538975672	P28707	P38707
9,538209155	P24280	P38707
9,537680602	P53598	Q01802
9,535648502	P04801	P04802
9,53444496	P07267	P28320
9,532627001	P54839	P04802
9,532257394	P41338	P04802
9,532155378	P00815	Q12306
9,530122825	Q00764	Q06685
9,529558673	Q04869	P04802
9,524123385	P16550	P04802
9,524032435	P32288	P04802
9,511281613	Q12306	P04802
9,509726586	P39990	P08465
9,506491503	P40037	P04802
9,504715467	P38009	P40535
9,499632105	P15705	P00498
9,498351913	P02557	P05626
9,495530462	P21954	P05626
9,491725788	P38891	P05626
9,488310942	P15624	P09457
9,485252817	P35179	P36151
9,482287462	P0C2H9	P09457
9,480423781	P29547	Q06508
9,478494348	P49166	P07251
9,477208105	P15625	P07251
9,476512816	P31539	Q04170
9,475685713	P23542	P07251
9,472215072	P07246	P40517
9,467918733	P16387	P00830
9,466289164	Q12154	P30902
9,465665348	P38625	Q06673
9,465665348	Q05911	P30902
9,46347491	P06634	P30902
9,460582151	Q05016	P30902
9,455103836	P38221	Q06338
9,4541128	P32911	P30902
9,452889951	P07342	Q06405
9,45230789	P35176	P25357
9,452261904	P49435	P38077
9,452123918	P39976	P40019
9,451049198	Q04894	P38077
9,448397103	P80210	P36059
9,441757959	P38708	P36059
9,439380069	P38934	P25037
9,438906086	Q00055	P51979
9,435971706	Q04344	P40562
9,434935983	P18562	P40562
9,43381782	"P07806;P07806-2"	P35187
9,430413712	P00890	Q06177
9,429849138	P32614	P19097
9,428150999	P38427	P36084
9,425615725	P39714	P28004
9,422704717	Q12513	P15108
9,421373558	P50095	P15108
9,421044248	P12695	Q05948
9,420764137	P38115	P47124
9,418334442	Q04409	P47124
9,415390738	P06105	P15108
9,414639147	P09938	Q12428
9,414087152	Q03559	P32898
9,412863574	Q12117	P15108
9,412460547	P47120	P38884
9,412326122	P07257	P15108
9,411148123	P40531	P47019
9,410996434	Q00955	P15108
9,410574797	Q12460	P32571
9,408206035	P38707	Q01217
9,407407902	P37303	P15108
9,405977788	P39111	P19812
9,40563659	P47075	P19812
9,40454295	P32263	P15108
9,402828605	P38972	P15108
9,402072144	Q12522	P15108
9,401934464	Q3E841	P15108
9,401452239	P41056	P19097
9,400917723	P07245	P15108
9,399327532	P07244	P15108
9,398287305	P40893	P15108
9,393610296	"P40825;P40825-2"	P15108
9,392626616	Q08971	Q05050
9,390369803	P23641	Q05050
9,390228362	P27616	P36084
9,389502754	P00931	P15108
9,387407625	P27476	P15108
9,382431317	P01098	P32380
9,381259521	P25373	P15108
9,380175049	P29952	Q12389
9,380120754	P05745	P24783
9,379885399	P08524	P24783
9,376850586	Q05506	P20447
9,376722914	P26637	Q06218
9,372562218	P36421	Q06218
9,369864958	P25719	P32590
9,369642518	P34167	P39517
9,368286885	P09436	P47047
9,367150841	P53691	P47047
9,366703057	P32352	P47047
9,364269504	P22515	P32892
9,362350508	P01123	P32639
9,36051768	P40043	P38300
9,357477454	P09624	Q03532
9,356083249	Q12402	Q03532
9,355834496	P37302	Q03532
9,355777071	P25294	Q03532
9,354242934	P02992	P20448
9,353300592	P40581	Q06089
9,352549101	P38523	P02294
9,346958999	P32445	P38112
9,34364488	P07259	Q04401
9,341553222	P11412	P53551
9,334715053	Q07915	P15424
9,333789738	P32599	P19262
9,333447274	P07991	Q07478
9,333386812	P07274	P40047
9,331771356	Q05905	Q07478
9,331488033	Q06205	Q07478
9,330941101	P40422	Q04697
9,31816772	P48510	P02294
9,312875222	P40069	Q07478
9,311796229	P32495	P38636
9,308051921	P35719	Q07478
9,302806963	P32473	P32499
9,300508529	Q12499	P54113
9,299354735	P47079	Q03012
9,29841638	P28834	P38009
9,295391148	P41807	P40517
9,294311881	P33330	P38009
9,293296245	Q02725	P38009
9,291679584	Q01560	P38009
9,28860689	Q04491	P38009
9,288383384	P37292	P38009
9,28584974	P43616	P38009
9,283617786	P25451	P47176
9,282735373	P20459	P07244
9,28171497	P23639	Q12186
9,28051008	P32610	Q05942
9,278959271	Q03161	Q01574
9,277402904	P22139	P35817
9,276898177	P53600	P35817
9,276484782	P38911	P39744
9,274688842	P13188	P09624
9,274527304	P49089	P35817
9,267453342	P48570	P19262
9,267054336	P33322	P35817
9,266983885	"P38431;P38431-2"	Q04347
9,264794219	P24783	Q04067
9,264345507	"P00724;P00724-2"	P38202
9,263730727	P28777	Q05942
9,257414559	P38993	P07245
9,256886045	P53141	P07245
9,256356886	P00899	P09440
9,252173156	P36060	Q02159
9,248095931	"P06208;P06208-2"	P09440
9,248095931	Q06252	Q02159
9,247997802	"P07263;P07263-2"	Q06671
9,246030551	P12385	P09440
9,240748878	P40024	P09440
9,240174695	P38791	P09440
9,240149713	P15891	P29295
9,236789099	P49626	P21269
9,235755635	P54885	P38695
9,234416038	P52490	P25567
9,232437009	P17555	P25694
9,231622484	P40217	P40019
9,229323408	P06103	P25037
9,229220944	P32327	P25694
9,228477354	P38249	Q12447
9,225154149	Q03195	P25694
9,222924467	P23638	Q06697
9,220265034	P47176	P17106
9,219898739	P53731	P17898
9,219060332	P21306	Q06337
9,218666771	P29704	P38806
9,217483944	P35844	Q06639
9,216851783	P53633	P43609
9,215558257	P11745	Q03281
9,213889471	P39076	P43609
9,211787763	P34227	P43609
9,208951675	P05453	P53914
9,200084064	P39079	Q02206
9,198629599	Q05933	P32832
9,198437135	P32366	P32832
9,198409634	Q3E7B6	Q12672
9,196701112	P09064	P40002
9,19576132	P21242	P02294
9,194375567	P07256	P32494
9,193430724	P20051	Q08422
9,193180274	P00812	P32494
9,1926232	P31412	P32494
9,191870015	P00331	P53865
9,191367166	P16603	P31688
9,189462239	P39730	Q03373
9,189097109	Q03690	P32494
9,188984699	P23724	P32494
9,182557301	P14907	P32657
9,180269278	P13298	P36141
9,1775365	P00958	P32657
9,177247836	P53905	P28274
9,176264942	P10659	P43616
9,175714707	P32377	P43616
9,171463165	P06738	P25374
9,17067234	P52286	P53852
9,168084796	P35732	P53852
9,165867268	P38624	P53852
9,165689376	P07560	P07253
9,165630062	P38616	P07253
9,164501561	Q99258	Q12178
9,164382601	P22146	P38791
9,163548965	P40518	P38074
9,161876877	P38626	P20051
9,161667412	P38992	P20051
9,159356612	Q12285	P28272
9,156942685	Q12109	P28272
9,156185573	P25349	P33313
9,154363101	P30624	P39956
9,15402815	P04037	P38920
9,151890569	P36154	P13382
9,151798723	P08566	P40075
9,151737481	P39078	Q02776
9,151093923	P40303	P38121
9,150602952	P32588	P32499
9,150295813	Q04178	P53914
9,147552664	P15731	P38891
9,146469133	P23644	Q01852
9,145445036	P32381	Q01454
9,144854307	Q01662	P48360
9,1441693	P39077	Q02725
9,141669217	P81451	Q02724
9,140790777	P21243	P15436
9,139658736	P41921	P49573
9,13918618	P35842	P15436
9,138681554	P40495	P15436
9,137290799	P52553	P40317
9,137037455	P13259	P46957
9,136562037	P38886	P48361
9,136022599	P39958	Q03759
9,13522809	P17891	P12695
9,135100834	P38715	P47110
9,134941711	Q12449	P21951
9,134527718	P07213	P06778
9,134432125	Q08962	P06778
9,131361989	P09733	P38086
9,129012793	Q04697	P38086
9,129012793	Q12434	P38086
9,12784959	Q08972	P09435
9,12515583	P23180	P38859
9,124341171	P38858	Q05779
9,124275932	P32379	P06786
9,121658312	P32419	P40457
9,121527016	P81450	Q04728
9,120146006	P38877	P36141
9,119420863	Q04067	Q05166
9,118958778	P40159	P06786
9,115743608	P15303	P22936
9,114444172	P31688	P22936
9,11417714	P30902	P53221
9,111262514	P22137	P22134
9,108666483	P34730	Q06350
9,1079219	P32897	P12612
9,107650826	P28274	P00890
9,107277823	P39743	P21538
9,106802628	P36107	P21538
9,106530854	P40047	P33333
9,105646413	P47117	P40151
9,103872108	P17423	P32353
9,103666914	P48015	P22138
9,103153503	P80967	Q05580
9,101403351	P43588	Q01852
9,100405012	Q8TGU7	P22138
9,099542529	P20449	P10964
9,093211492	P27614	P10964
9,092053606	P11632	P10964
9,092053606	P23585	P47006
9,09075169	P32563	P47006
9,088561312	P07703	P31787
9,087568476	P33201	P46669
9,086644521	P20435	P46669
9,086324231	P33299	Q01389
9,085326262	P33297	Q01389
9,084933575	P47119	P46669
9,08174325	P25567	Q06214
9,08174325	Q06406	Q06214
9,081347308	P32461	Q01080
9,080193419	P41811	P53883
9,079543007	Q12349	P25441
9,07834805	P38764	P40019
9,07773118	P39704	P36149
9,077331561	P00044	P32463
9,076604039	P40961	Q02821
9,075875295	Q02486	P32499
9,075145327	Q12377	P17890
9,074267743	P25605	P17890
9,07419453	P38689	P53551
9,073241648	Q02647	P19659
9,072176344	P42943	P17890
9,071734764	P40089	Q07457
9,070628844	P32867	Q07457
9,07044425	P33298	P09798
9,069816043	P15700	Q03063
9,06914989	P08417	P32590
9,069038765	P38912	Q07457
9,066959198	P05373	Q03280
9,064570292	P05626	P22141
9,064570292	P30657	Q03280
9,064420548	P21264	Q02908
9,064158372	P47044	Q06224
9,063933524	P36015	P06168
9,062920264	P07278	P43572
9,062130535	P53080	P39960
9,062017599	P15873	P43572
9,06092437	Q06103	P43572
9,060244427	P14306	P43572
9,054766218	P53081	P43572
9,054459837	P40327	P38523
9,052924684	P15703	P43572
9,051808294	P12612	Q06103
9,051191125	P14742	P43572
9,049799278	P42940	P25379
9,048402956	P25293	P36036
9,04544034	P00927	P03871
9,043872912	P50085	P25617
9,043755127	P33333	P54838
9,04289039	Q04773	Q08421
9,041590047	P54838	P10591
9,038540686	P39926	P00924
9,034548247	Q03104	P00924
9,034387784	Q99190	P02294
9,033021445	P38628	P00924
9,032578472	P00447	P00924
9,030842503	Q01939	P38988
9,030680664	P25043	P36147
9,030478281	P38821	P00924
9,028611915	A5Z2X5	Q08689
9,027145666	P32895	P00925
9,026410681	P40510	P00925
9,021313365	P38986	P00925
9,020527012	Q6Q560	P00925
9,019365575	P21576	P53193
9,015988105	P32074	P00925
9,015988105	P38143	P53940
9,015778756	P40302	P53929
9,015485498	P32368	P00925
9,01300585	Q08742	P53219
9,012921546	Q12314	P00925
9,008813009	P32529	P00925
9,008515008	Q06405	P53914
9,006722692	P40513	P00925
9,006722692	Q04062	P00925
9,005866602	P10614	P00925
9,004579294	P53852	P38333
9,002856926	P41911	P05453
9,001949941	P20967	P32463
9,001733713	P40413	P40317
9,000867722	Q12458	P38071
9,000650954	P18899	P53875
8,999956568	P53622	P53875
8,999700233	Q12250	P05453
8,999234968	P49334	P32499
8,998721294	P25367	P00447
8,99540702	Q05022	P12385
8,994822875	Q06440	P03872
8,993392137	P40509	P0CH08
8,992111488	Q03862	P12385
8,992062837	P40075	Q05775
8,990587459	P39986	Q05775
8,989400868	P32454	P10591
8,987380216	Q04338	P07260
8,985597104	P40202	P07260
8,983120895	P0C0V8	P39730
8,982479283	P21147	P53691
8,982402406	P04046	P48240
8,980961854	Q12692	Q02196
8,979375351	P32472	Q08162
8,979070114	"Q01532;Q01532-2"	Q12149
8,978988074	P48606	P10591
8,977202139	P32496	Q12149
8,975771758	P54113	Q12149
8,975468573	Q06146	P53742
8,975289318	P05747	P53163
8,97510999	P53738	P38801
8,974829353	P40070	P10591
8,974115443	P40414	P40457
8,972656342	P27472	Q06214
8,970862701	P22147	P32558
8,970165495	P40482	P32558
8,969070949	Q05359	P32558
8,968529644	P32485	P16622
8,96728114	P21965	P16622
8,966643815	P32598	P16622
8,966629746	"P0CX74;P0CX75;P0CX76;Q12085;Q12485"	P26793
8,964617858	Q08723	P20134
8,964514191	P38075	P40466
8,964203041	P40106	P41813
8,963258799	P00427	Q07540
8,962596606	P25560	P02294
8,962231969	P53066	P14540
8,960261429	P53549	P53312
8,95924179	P39517	P25719
8,957875346	O43137	P40047
8,955346144	P32939	P32589
8,953048974	P53860	P14540
8,952026791	P47154	P14540
8,951910371	Q03667	P14540
8,950992472	P14904	P10591
8,948075376	P11491	P14540
8,947801197	P33892	P14540
8,946899103	P43621	P14540
8,944911819	P53281	Q12514
8,944901959	Q02046	P00890
8,939733851	P53723	P14922
8,939594125	P53163	P14922
