Background	Intensity	Foreground
P00359	11.07751325	P07261
P00925	10.96978388	P09201
P02994	10.76849751	P14066
P06169	10.74716312	P18412
P00560	10.74614359	P20050
P00950	10.74149039	P31111
P00549	10.70474233	P32389
P00330	10.6690378	P38140
P05743	10.64206863	P38142
P02407;P14127	10.64061061	P38157
P0C2H6;P0C2H7	10.63619693	P38282
P35997;P38711	10.6231769	P38806
P29453	10.61589747	P39959
O14455	10.59787062	P40316
P04456	10.59595893	P40963
P14540	10.5819724	P40963
P0CX84;P0CX85	10.58108453	P40963
P05755	10.58103895	P40963
P0CX31;P0CX32	10.56810781	P40963
P0CX55;P0CX56	10.54364595	P50104
P38061	10.5379072	P51979
P0C0T4;Q3E792	10.53665943	P53718
Q3E754	10.53411499	Q03868
P0CX45;P0CX46	10.53402611	Q04004
P0CX37;P0CX38	10.52973826	Q04383
P00942	10.50797724	Q05471
Q3E7X9;P0C0X0	10.50224954	Q06592
P46990	10.49953588	Q08981
P40212	10.49950838	Q12247
Q3E7Y3;P0C0W1	10.49583562	Q12247
P0CX82;P0CX83	10.49299772	Q12247
P06367	10.48974761	Q12472
P49167	10.48818395	Q12348
P05737	10.48492591	Q2V2Q1
P0CX23;P0CX24	10.47118899	Q9URQ3
P05738	10.46691209	Q12508
P23248	10.45741254	Q08649
P04449	10.45487534	Q08649
P14126	10.45266028	P47037
P0CX39;P0CX40	10.45218525	P47037
P05317	10.44921605	Q08649
P26786	10.44720456	Q07794
P0CX53;P0CX54	10.43476046	P38859
P41805	10.43276091	P43572
P0CX25;P0CX26	10.43134768	Q12309
P0CX47;P0CX48	10.43068767	P32504
P0CX43;P0CX44	10.41462243	P39520
P10664	10.41219166	Q08649
P38754	10.41101329	P43572
P07280;P07281	10.41062541	P33322
P46654	10.41037227	P13574
P0CX35;P0CX36	10.40866387	Q03774
P38701	10.4028286	P22082
P05750	10.39639116	P22082
P05739	10.3823773	P20053
P0CX51;P0CX52	10.37979484	Q06629
P48589	10.37571847	P53165
P14832	10.37516961	Q12433
P04806	10.37366584	Q12433
P40150	10.37145578	Q03330
P0CX49;P0CX50	10.3710309	Q01926
P02406	10.36135002	Q01926
P39938	10.35719134	Q04003
P05756	10.35575793	P22035
P0C2H8	10.33383001	P39001
P05759;P0CG63;P0CH08;P0CH09	10.33247886	Q12692
P04650	10.32923512	P40493
P32324	10.32387061	Q05021
P05744	10.32356146	P40466
P10081	10.32292187	P35177
P0CX33;P0CX34	10.31107541	Q04545
P10592	10.30539437	P39678
P26783	10.29424572	Q04779
P25443	10.29230038	P40151
P14120	10.28230483	P43572
P54115	10.26806288	Q08887
P60010	10.26717173	P40505
P34760	10.24370759	P35177
P0CX27;P0CX28	10.23957474	P25302
P0CX29;P0CX30	10.238999	P38256
P26785	10.23111263	P35177
P15108	10.2310361	P53165
P05748	10.22279448	P35177
P00445	10.22005576	P53148
Q01855	10.21976784	P53165
P04807	10.21563756	P13712
P41057	10.21386293	Q04545
P40525;P87262	10.20943458	Q04545
P35691	10.19868457	P53165
Q02753	10.19529066	P13393
P12709	10.1897429	P05747
P0CX41;P0CX42	10.18361145	Q04003
P16521	10.17868924	P38144
P05318	10.1520742	P38931
P26321	10.15170686	P40489
P41058	10.14872602	P53267
P23301	10.13868155	P32432
P02400	10.13668887	P53165
P41277	10.13643517	Q03792
P05319	10.13490988	P32494
P39954	10.12794664	P53438
P05749	10.12781723	Q12692
Q08245	10.11487775	P25366
P39015	10.11136334	Q99314
P29311	10.10397467	Q01448
P06168	10.09802039	P25502
P04840	10.08019342	P39521
P22943	10.07371835	P40154
P38011	10.07302145	P20134
P12398	10.05602776	P38144
P07170	10.03410683	Q04116
P40185	10.03294094	P53064
P41940	10.01711685	P43572
P38720	10.01586251	P43572
P36008	10.0094509	P35187
P19882	10.00719282	P40161
P04911;P04912	10.00548081	P43572
P38013	10.00384812	P39001
P38879	10.00151738	P40489
P00817	9.998999972	P18888
P32589	9.995959697	P53168
P22217	9.994418344	Q05958
P32471	9.979653066	P38086
P37291	9.973506541	P38129
P05030	9.965027572	P38144
P46367	9.961757957	P36124
P46784	9.945118842	P25357
Q03558	9.941804507	P23615
P17709	9.931132282	P40019
P31787	9.925879089	P39956
P39004	9.920410325	P41696
P38910	9.909395546	P32597
Q03048	9.908533271	P14164
P02309	9.902709813	P38087
P61830	9.889716186	Q06411
P16140	9.885875509	P32901
P23254	9.885451689	P12383
P05740	9.88101355	P09435
P41920	9.873431051	Q04779
O14467	9.870351225	P06115
P05694	9.86581438	P35177
P15019	9.853606964	P35177
P38219	9.852473894	P32639
P48836	9.849793962	P02309
P11076	9.845965762	P61830
P06106	9.843637599	Q04779
P17255	9.840795899	P02309
P20081	9.839616296	Q12329
P31373	9.838597253	P32499
P00924	9.837979632	Q04170
P49723	9.834083565	P32190
P04147	9.828698556	P46678
P15992	9.821893288	P21951
P17967	9.817486039	P38850
P0C0W9;Q3E757	9.813447544	Q04693
P07283	9.807562086	P11484
P48164	9.801328234	P40562
P32582	9.800270185	Q12265
P00360	9.794996633	P33411
P17695	9.794975744	Q12408
P36010	9.793385227	P53854
Q02326	9.792069351	P17890
P33331	9.781748196	Q03661
P32836	9.781468143	Q08923
P00358	9.778404515	Q03707
P26784	9.769783364	P53261
P38788	9.765638757	Q04779
P32527	9.762528522	P25357
P47143	9.760603402	P12887
P15180	9.758457689	Q12178
P24000	9.748715065	P53438
P10622	9.745168514	P24384
P07262	9.741884001	P38266
P22203	9.736985787	Q08923
P07251	9.735391283	P25357
P17505	9.725780998	Q03434
P01095	9.720473536	P23293
Q3E764	9.715527029	Q04779
P38264	9.714413592	Q12495
P40046	9.713305698	P34219
P19358	9.711571044	P48234
P46655	9.711047604	Q03338
P07284	9.70946501	P40019
P02293;P02294	9.707391312	Q12136
P46672	9.705726905	P53079
P07260	9.704879451	P21957
P16120	9.699334659	P14922
P38248	9.696993818	P39001
P00830	9.69522768	P35177
P31116	9.69466661	Q12118
P16965	9.690718691	P38198
P32449	9.688846787	P36009
P39726	9.686198179	P43577
P17536	9.68038991	P13574
P39676	9.6778897	Q02555
P13663	9.674796864	P38086
Q07478	9.66927968	P21957
P25087	9.668162188	P33399
Q12363	9.667182018	Q12220
Q12230	9.663144748	P25357
Q02642	9.663078713	Q12447
P22803	9.66184107	P00358
P10080	9.659859177	P40470
P16861	9.651888312	Q12020
Q12159	9.650365814	Q12287
Q12335	9.649110837	P25357
P06787	9.6486722	P00360
P15454	9.647764278	P19812
P52489	9.647539444	Q07458
P29509	9.644064206	P22579
P07149	9.640620548	Q02792
P04802	9.639177592	P22579
P25491	9.634104282	P09435
Q12074	9.633145139	P38920
P16474	9.632578756	Q02961
P37012	9.622328023	P23255
Q12305	9.61911421	Q03388
Q07551	9.612836816	Q08923
P16862	9.609647759	P31385
P09457	9.607036612	Q03661
P15646	9.60657482	P31385
P07264	9.60539125	P53438
P50861	9.605132587	P17890
P53981	9.604938489	Q04779
Q06177	9.603804518	P20095
P00498	9.603772075	P53725
Q6Q547	9.602157697	P35177
P53252	9.600711587	P35177
P19097	9.599173217	Q02775
P25694	9.598954567	P25588
P20606	9.59782677	Q12060
P32861	9.59505509	P25357
P38088;P38088-2	9.59488955	P32494
P49090	9.591320654	P33891
P53221	9.59018399	Q04500
P0C2I9	9.589871444	P43609
P10591	9.581346527	Q12186
P33442	9.579509219	P43572
Q12118	9.578329708	P25302
P32481	9.574864314	P32832
P28241	9.571825249	P25617
P18239	9.564760723	Q01329
P19414	9.564618727	P38129
P17076	9.564524037	Q07914
P39522	9.563469219	Q04779
P53090	9.560444673	Q03434
Q04947	9.558528577	P38883
Q12447	9.556109438	P31385
P52910	9.553822367	P25357
P14020	9.553215301	P18480
P28272	9.552680381	P27692
P53184	9.544849072	Q03532
Q05775	9.542227705	Q12751
P12962	9.541329578	P0CX23
P28707	9.538975672	P53552
P24280	9.538209155	Q04217
P53598	9.537680602	P47006
P04801	9.535648502	P40154
P07267	9.53444496	P28320
P54839	9.532627001	P40535
P41338	9.532257394	Q01080
P00815	9.532155378	Q12306
Q00764	9.530122825	Q06685
Q04869	9.529558673	P53833
P16550	9.524123385	Q00916
P32288	9.524032435	P25554
Q12306	9.511281613	P32494
P39990	9.509726586	P08465
P40037	9.506491503	P38827
P38009	9.504715467	P43579
P15705	9.499632105	Q06631
P02557	9.498351913	P53617
P21954	9.495530462	P53743
P38891	9.491725788	P21957
P15624	9.488310942	Q04347
P35179	9.485252817	P36151
P0C2H9	9.482287462	P32657
P29547	9.480423781	Q06508
P49166	9.478494348	P18480
P15625	9.477208105	Q06506
P31539	9.476512816	Q04170
P23542	9.475685713	Q03707
P07246	9.472215072	P40517
P16387	9.467918733	Q03434
Q12154	9.466289164	P06843
P38625	9.465665348	Q06673
Q05911	9.465665348	Q03761
P06634	9.46347491	Q06631
Q05016	9.460582151	P06778
P38221	9.455103836	Q06338
P32911	9.4541128	P06786
P07342	9.452889951	P34161
P35176	9.45230789	P25357
P49435	9.452261904	Q03330
P39976	9.452123918	P40019
Q04894	9.451049198	P31378
P80210	9.448397103	P38630
P38708	9.441757959	P11484
P38934	9.439380069	P25037
Q00055	9.438906086	Q12345
Q04344	9.435971706	Q04500
P18562	9.434935983	P41814
P07806;P07806-2	9.43381782	P18888
P00890	9.430413712	Q06177
P32614	9.429849138	P19097
P38427	9.428150999	P36084
P39714	9.425615725	P28004
Q12513	9.422704717	Q12692
P50095	9.421373558	P40562
P12695	9.421044248	Q05948
P38115	9.420764137	P47124
Q04409	9.418334442	P47124
P06105	9.415390738	Q04779
P09938	9.414639147	Q12428
Q03559	9.414087152	P32898
Q12117	9.412863574	Q06631
P47120	9.412460547	P38884
P07257	9.412326122	P38255
P40531	9.411148123	P47019
Q00955	9.410996434	Q05812
Q12460	9.410574797	P32571
P38707	9.408206035	Q01217
P37303	9.407407902	P35177
P39111	9.405977788	P19812
P47075	9.40563659	P19812
P32263	9.40454295	Q05123
P38972	9.402828605	P25588
Q12522	9.402072144	Q08237
Q3E841	9.401934464	P53552
P41056	9.401452239	P19097
P07245	9.400917723	Q06344
P07244	9.399327532	P00331
P40893	9.398287305	P11484
P40825;P40825-2	9.393610296	P47110
Q08971	9.392626616	Q05050
P23641	9.390369803	Q05050
P27616	9.390228362	P36084
P00931	9.389502754	P09950
P27476	9.387407625	P25554
P01098	9.382431317	P32380
P25373	9.381259521	O13297
P29952	9.380175049	Q06224
P05745	9.380120754	Q05022
P08524	9.379885399	Q07457
Q05506	9.376850586	P29056
P26637	9.376722914	Q05022
P36421	9.372562218	P32494
P25719	9.369864958	P32590
P34167	9.369642518	Q01448
P09436	9.368286885	P38705
P53691	9.367150841	P38199
P32352	9.366703057	P42073
P22515	9.364269504	P11633
P01123	9.362350508	P32639
P40043	9.36051768	P38300
P09624	9.357477454	P38255
Q12402	9.356083249	P48525
P37302	9.355834496	P25627
P25294	9.355777071	Q08746
P02992	9.354242934	P22082
P40581	9.353300592	Q06089
P38523	9.352549101	P02294
P32445	9.346958999	Q12159
P07259	9.34364488	Q04401
P11412	9.341553222	P53551
Q07915	9.334715053	P11484
P32599	9.333789738	P19262
P07991	9.333447274	Q08162
P07274	9.333386812	P40047
Q05905	9.331771356	P16649
Q06205	9.331488033	P36059
P40422	9.330941101	Q04697
P48510	9.31816772	P02294
P40069	9.312875222	P43586
P32495	9.311796229	P38636
P35719	9.308051921	Q04600
P32473	9.302806963	P32499
Q12499	9.300508529	Q03434
P47079	9.299354735	Q03012
P28834	9.29841638	P39705
P41807	9.295391148	P40517
P33330	9.294311881	P36053
Q02725	9.293296245	Q02455
Q01560	9.291679584	P38336
Q04491	9.28860689	P31385
P37292	9.288383384	P0CX47
P43616	9.28584974	P38086
P25451	9.283617786	P47176
P20459	9.282735373	P46669
P23639	9.28171497	P14164
P32610	9.28051008	Q05942
Q03161	9.278959271	Q01574
P22139	9.277402904	P25588
P53600	9.276898177	P32832
P38911	9.276484782	P39744
P13188	9.274688842	P09624
P49089	9.274527304	P45976
P48570	9.267453342	P19262
