category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO.0005930	2	107	9606	9606.ENSP00000228682,9606.ENSP00000379258	GLI1,GLI3	0.00045	0.0041	axoneme
Component	GO.0030666	2	152	9606	9606.ENSP00000249373,9606.ENSP00000332353	SMO,PTCH1	0.0009	0.006999999999999999	endocytic vesicle membrane
Component	GO.0044422	6	9111	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,HHIP,SHH,PTCH1,GLI3	0.0102	0.0464	organelle part
Component	GO.0044441	5	421	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,HHIP,PTCH1,GLI3	2.81e-08	2.81e-06	ciliary part
Component	GO.0045121	2	300	9606	9606.ENSP00000297261,9606.ENSP00000332353	SHH,PTCH1	0.0034	0.0201	membrane raft
Component	GO.0060170	3	85	9606	9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000332353	SMO,HHIP,PTCH1	1.74e-06	4.35e-05	ciliary membrane
Component	GO.0097542	3	46	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000379258	GLI1,SMO,GLI3	2.93e-07	9.78e-06	ciliary tip
Component	GO.0097546	2	28	9606	9606.ENSP00000228682,9606.ENSP00000379258	GLI1,GLI3	3.39e-05	0.00047999999999999996	ciliary base
Component	GO.0098805	3	1554	9606	9606.ENSP00000249373,9606.ENSP00000297261,9606.ENSP00000332353	SMO,SHH,PTCH1	0.0084	0.0398	whole membrane
Function	GO.0005113	3	8	9606	9606.ENSP00000249373,9606.ENSP00000297261,9606.ENSP00000332353	SMO,SHH,PTCH1	2.64e-09	1.87e-07	patched binding
Function	GO.0005515	6	6605	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,HHIP,SHH,PTCH1,GLI3	0.0015	0.0351	protein binding
Function	GO.0005539	2	219	9606	9606.ENSP00000297261,9606.ENSP00000332353	SHH,PTCH1	0.0018	0.0351	glycosaminoglycan binding
Function	GO.0097108	2	3	9606	9606.ENSP00000296575,9606.ENSP00000332353	HHIP,PTCH1	7.83e-07	2.78e-05	hedgehog family protein binding
KEGG	hsa04024	4	195	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,PTCH1,GLI3	1.53e-07	2.68e-07	cAMP signaling pathway
KEGG	hsa04340	6	46	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,HHIP,SHH,PTCH1,GLI3	2.61e-16	1.83e-15	Hedgehog signaling pathway
KEGG	hsa04360	3	173	9606	9606.ENSP00000249373,9606.ENSP00000297261,9606.ENSP00000332353	SMO,SHH,PTCH1	1.4000000000000001e-05	1.9600000000000002e-05	Axon guidance
KEGG	hsa05200	6	515	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,HHIP,SHH,PTCH1,GLI3	3.46e-10	8.069999999999999e-10	Pathways in cancer
KEGG	hsa05205	3	195	9606	9606.ENSP00000249373,9606.ENSP00000297261,9606.ENSP00000332353	SMO,SHH,PTCH1	1.99e-05	2.33e-05	Proteoglycans in cancer
KEGG	hsa05217	6	63	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,HHIP,SHH,PTCH1,GLI3	1.54e-15	5.38e-15	Basal cell carcinoma
Keyword	KW-0217	3	958	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000297261	GLI1,SMO,SHH	0.0021	0.0324	Developmental protein
Keyword	KW-0370	2	8	9606	9606.ENSP00000297261,9606.ENSP00000332353	SHH,PTCH1	3.52e-06	0.00016	Holoprosencephaly
Keyword	KW-0862	4	2308	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000379258	GLI1,HHIP,SHH,GLI3	0.0024	0.0324	Zinc
Keyword	KW-9995	5	3799	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,SHH,PTCH1,GLI3	0.0014	0.032	Disease
PMID	PMID.11667962	5	35	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,HHIP,SHH,PTCH1,GLI3	1.65e-13	6.379999999999999e-11	(2000) From fruitflies to mammals: mechanisms of signalling via the Sonic hedgehog pathway in lung development.
PMID	PMID.12221011	4	5	9606	9606.ENSP00000228682,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SHH,PTCH1,GLI3	3.09e-13	9.480000000000001e-11	(2002) Sonic hedgehog activates mesenchymal Gli1 expression during prostate ductal bud formation.
PMID	PMID.12786818	4	5	9606	9606.ENSP00000228682,9606.ENSP00000296575,9606.ENSP00000297261,9606.ENSP00000379258	GLI1,HHIP,SHH,GLI3	3.09e-13	9.480000000000001e-11	(2003) Expression of the GLI2 oncogene and its isoforms in human basal cell carcinoma.
PMID	PMID.12812795	4	5	9606	9606.ENSP00000228682,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SHH,PTCH1,GLI3	3.09e-13	9.480000000000001e-11	(2003) Differential requirement for Gli2 and Gli3 in ventral neural cell fate specification.
PMID	PMID.15087129	5	6	9606	9606.ENSP00000228682,9606.ENSP00000249373,9606.ENSP00000297261,9606.ENSP00000332353,9606.ENSP00000379258	GLI1,SMO,SHH,PTCH1,GLI3	1.1599999999999999e-16	6.1e-13	(2004) Expression of the PTCH1 tumor suppressor gene is regulated by alternative promoters and a single functional Gli-binding site.
