background_int	background_an	sample_an
11,01452054	P62805	P18583
10,90251417	"P0C0S8;P20671;Q6FI13;Q16777;Q9BTM1;Q96KK5;Q99878;H0YFX9;P04908;Q7L7L0;Q93077;Q9BTM1-2"	Q15596
10,8864174	Q71DI3	Q04637
10,86287644	"P63261;I3L4N8;I3L1U9;I3L3I0"	O15228
10,84162847	"P04406;P04406-2;E7EUT5"	P01106
10,77521711	"P58876;U3KQK0;O60814;P57053;P62807;Q99877;Q99879;Q99880"	O14686
10,64083906	"P06733;P06733-2"	P18583
10,62768327	"P62328;Q5T4B6"	Q15596
10,51432191	"P68104;Q5VTE0"	Q7Z333
10,50674849	P68371	Q147X3
10,50149745	"P07737;K7EJ44;I3L3D5"	Q9Y2F5
10,48780275	Q06830	Q04637
10,46879026	"P62937;C9J5S7;F8WE65"	Q09472
10,45180178	"P06703;R4GN98"	Q6W2J9
10,43009119	"P29401-2;P29401;B4E022"	O14686
10,40920587	P62979	Q04637
10,37928738	"P06454;P06454-2;B8ZZQ6;H7C2N1;B8ZZW7;B8ZZA1"	Q09472
10,37265429	"P04075-2;P04075;J3KPS3;H3BQN4;H3BPS8;H3BUH7"	Q09472
10,36666572	"P06748;P06748-2;P06748-3"	Q9NVV4
10,36308524	P42766	Q03111
10,3586961	"P00338-3;P00338;P00338-4;P00338-2;P00338-5"	Q09472
10,3531658	P16403	B4DQL2
10,31800069	P08238	Q3L8U1
10,3170181	"P14618;P14618-3;H3BQ34"	Q9UKV3
10,31378288	P14174	Q15596
10,31295974	P10809	A0AUZ9
10,30444744	"P07355-2;P07355;H0YN42;H0YM50;H0YMU9;H0YMD0;A6NMY6;H0YNP5"	P35611
10,30016054	"P61604;B8ZZL8"	A4FU49
10,28289389	"P62263;E5RH77"	A5PLK6
10,28146517	"P08670;B0YJC4"	A6NFK2
10,27093491	"P07195;A8MW50"	A7Y2D6
10,26976971	"P00558;B7Z7A9;E7ERH5"	P42574
10,26906908	"Q32Q12;P22392-2;J3KPD9;P22392"	O14874
10,26735949	"P22626;P22626-2"	Q8NEB9
10,249076	"P10599;P10599-2"	Q16665
10,2445987	"P63104;E7EX29;B0AZS6;P63104-2;E7ESK7;H0YB80;B7Z2E6"	A9IYQ1
10,2384225	"P09429;Q5T7C6;Q5T7C4;B2RPK0;Q5T7C0"	P35914
10,22652258	P05204	B1AK88
10,22172713	Q9Y3U8	B1AK88
10,22123161	"P05387;H0YDD8"	O15511
10,21492328	"P62917;E9PKU4;E9PKZ0;E9PP36;G3V1A1"	Q9UNN5
10,2126137	"P61254;J3QQV1;J3QQQ9;J3QRI7;J3QRC4;J3KTJ8"	Q9UGL1
10,19523525	"P11142;E9PKE3;E9PNE6;P11142-2;E9PN89"	B3KXW5
10,18752072	"B5MDF5;P62826;J3KQE5;F5H018;H0YFC6"	P46459
10,18212921	"P61353;K7ELC7"	B4DGC9
10,17889066	"I3L504;P63241-2;P63241;I3L397;Q6IS14;Q9GZV4;C9J4W5;C9J7B5;F8WCJ1"	B4DLN1
10,17805561	"P46781;C9JM19;B5MCT8"	B4DLN1
10,1726613	P20962	Q9BWT1
10,17248617	"P62424;Q5T8U3;Q5T8U2"	O15498
10,16133805	Q02878	Q8N0X4
10,15563963	"Q01105;Q01105-4;Q01105-3"	B4DYX9
10,1532049	P37802	P51665
10,1476145	"Q5W0H4;P13693;J3KPG2;E9PJF7;Q8TBK7"	B4DYH1
10,1472743	P26447	B4DYH1
10,14292106	"P60174;P60174-1;P60174-4;U3KPZ0;U3KQF3"	B4E0Y9
10,14057089	"P09211;A8MX94"	Q2TAY7
10,13991056	"P36578;H3BM89"	G3XAA4
10,12185518	"P46778;M0R181;G3V1B3"	G3XAA4
10,11297346	P09382	G3XAA4
10,10907208	"P61513;E9PEL3;Q6P4E4;C9J4Z3;G5E9R3;M0R2L6;M0R0A1"	Q00796
10,10778638	P62906	Q9NZ52
10,10226215	P26038	P42568
10,09805504	"P04792;F8WE04"	B7Z7Q0
10,0901522	P13639	Q93009
10,08958722	"P62249;M0R210;M0R3H0;M0R1M5"	B7Z955
10,0799406	"P60842;P60842-2;J3KT12;J3QS69;J3KTB5;J3QL43;J3KSZ0"	Q9ULD4
10,07667685	"P61247;D6RAT0;D6RG13;E9PFI5;H0Y8L7;F5H4F9;H0Y9Y4;D6RB09"	Q9ULD4
10,07474332	"E9PK25;P23528;G3V1A4;E9PP50;E9PQB7"	Q8N4C6
10,07011178	"P80723;P80723-2"	Q9H992
10,0696311	P46777	P15036
10,06889055	"P18077;C9K025;F8WB72;F8WBS5"	Q9Y2M2
10,06800023	"P61313;E7EQV9;E7ENU7;E7EX53"	Q68DE3
10,06602759	F5GWP8	Q68DE3
10,06292026	"P84098;J3KTE4;J3QR09"	Q9ULK2
10,06152787	P30041	Q9H074
10,05686675	"O43707;O43707-2"	Q9BPZ3
10,05568406	"P62750;A8MUS3;K7ERT8;K7EJV9;H7BY10;K7EMA7"	Q6DN14
10,05330898	"P60866-2;P60866;G3XAN0;E5RJX2"	Q9NYD6
10,05273241	P11021	O75920
10,04727487	"P21333;P21333-2;Q5HY54"	G5EA03
10,04406915	"P16949;P16949-2;A2A2D0"	Q06265
10,0397313	"P07951-2;P07951-3"	Q9Y620
10,03666881	P62857	P28328
10,03442791	"P39023;G5E9G0;H7C422;B5MCW2;H7C3M2"	O15347
10,0342674	P23284	Q9NXR8
10,03410683	"P27635;F8W7C6;Q96L21"	Q9NXR8
10,03286042	"P09651-2;P09651;F8W6I7;P09651-3;F8VZ49;Q32P51;F8VTQ5"	Q9NXR8
10,02259331	"P62241;Q5JR95"	E7ETU7
10,02114794	"P07910-2;G3V4C1;B4DY08;G3V4W0;P07910;G3V2Q1;P07910-4;G3V576;P07910-3;G3V2D6;G3V575;G3V555;G3V251"	P78527
10,01882528	"P62701;Q8TD47"	Q5VV67
10,01778435	Q13151	Q5VV67
10,00727825	"P62277;J3KMX5;E9PS50"	Q3SYG4
10,00650883	P62269	Q52LR7
10,00582375	"P62258;P62258-2"	P29083
10,00569518	"Q99497;K7ELW0;K7EN27"	J3KP97
9,997027965	P62851	Q9Y2Q3
9,985516288	"P62753;A2A3R5"	E9PHK9
9,978960724	"P05783;F8VZY9"	E9PHK9
9,970616483	"P62899;B7Z4C8;P62899-2;P62899-3;B7Z4E3;C9JU56;H7C2W9;B8ZZK4"	E9PHK9
9,963575349	"P08865;C9J9K3;A6NE09"	E9PHK9
9,955302823	"P18124;A8MUD9"	E9PHK9
9,955013903	"P62081;B5MCP9"	E9PHK9
9,952574515	"P62280;M0QZC5"	P54105
9,949906948	"P23396;P23396-2;E9PL09;H0YEU2;E9PPU1"	Q96K17
9,946776391	P25398	P17980
9,946761663	P16401	Q14839
9,944897028	"P35579;P35579-2"	Q5FWF4
9,944122256	"J3QQ67;Q07020;G3V203;H0YHA7;F8VWC5;F8VYV2;F8VUA6"	Q76FK4
9,941496525	"P26373;P26373-2;J3QSB4"	Q14152
9,938399627	P05386	Q8N4S0
9,930623061	O75531	H0YL70
9,929898939	P39019	H0YL70
9,923948269	"P06744;P06744-2;K7EQ48"	H0YL70
