id_	over/under	perc_associated_foreground	perc_associated_background	fold_enrichment_foreground_2_background	foreground_count	foreground_n	background_count	background_n	p_uncorrected	FDR	description	ANs_foreground
....GO:0090304	o	38.575	23.545	1.638	444	1151	271	1151	7.53e-15	4.13e-11	nucleic acid metabolic process	O13297, O14467, P00958, P01123, P02293, P04147, P04801, P04802, P04803, P04911, P05453, P05737, P05740, P05750, P05755, P05756, P05759, P06634, P06778, P06786, P06843, P07170, P07248, P07253, P07260, P07261, P07263, P07284, P07806, P09436, P09938, P09959, P0C0X0, P0C2I9, P0CX29, P0CX31, P0CX37, P0CX39, P0CX43, P0CX47, P0CX55, P0CX84, P10081, P10962, P10964, P11484, P11632, P11633, P12383, P12385, P12887, P13188, P13382, P13393, P13574, P14120, P14126, P14164, P14682, P14922, P15108, P15180, P15424, P15436, P15565, P15624, P15625, P15646, P15790, P15873, P16649, P17076, P17106, P17255, P17629, P17890, P18412, P18480, P18888, P19263, P19454, P20053, P20095, P20134, P20447, P20448, P20449, P21269, P21538, P21951, P21957, P21965, P22035, P22082, P22134, P22138, P22147, P22579, P22936, P23248, P23255, P23293, P23615, P24783, P25040, P25302, P25374, P25441, P25443, P25502, P25554, P25555, P25582, P25588, P25627, P25694, P26637, P26793, P27476, P27692, P29055, P29056, P29295, P29453, P29468, P29539, P31111, P31378, P31385, P32389, P32432, P32445, P32447, P32494, P32495, P32527, P32558, P32561, P32591, P32597, P32657, P32776, P32787, P32832, P32833, P32892, P33201, P33203, P33309, P33322, P33399, P33411, P33417, P33442, P33750, P34161, P34247, P34730, P34760, P35169, P35177, P35187, P35189, P35194, P35817, P35997, P36009, P36010, P36049, P36053, P36080, P36124, P36160, P36421, P36775, P37838, P38086, P38088, P38112, P38121, P38129, P38140, P38144, P38157, P38199, P38205, P38255, P38282, P38333, P38336, P38351, P38630, P38701, P38705, P38707, P38708, P38768, P38779, P38788, P38793, P38801, P38803, P38804, P38805, P38806, P38827, P38828, P38850, P38859, P38882, P38883, P38920, P38931, P38934, P38961, P38996, P39001, P39015, P39073, P39517, P39520, P39521, P39678, P39705, P39730, P39927, P39956, P40007, P40010, P40018, P40040, P40055, P40078, P40151, P40154, P40160, P40161, P40316, P40327, P40348, P40466, P40470, P40489, P40493, P40505, P40535, P40553, P40562, P40693, P40825, P40963, P41696, P41812, P41814, P41895, P41896, P42073, P42846, P43572, P43579, P43583, P43586, P43609, P45976, P46655, P46669, P46672, P46678, P46947, P46957, P46990, P47006, P47037, P47047, P47077, P47083, P47110, P48164, P48234, P48240, P48525, P48570, P49166, P49687, P49723, P50104, P50105, P51979, P53040, P53044, P53063, P53064, P53072, P53114, P53136, P53165, P53254, P53261, P53272, P53276, P53297, P53438, P53549, P53552, P53617, P53628, P53718, P53725, P53743, P53833, P53852, P53854, P53905, P53914, P53927, P53941, P53946, P53973, P60010, P61830, P80428, P89105, Q00416, Q00916, Q01080, Q01329, Q01448, Q01454, Q01560, Q01939, Q02206, Q02336, Q02455, Q02555, Q02642, Q02792, Q02892, Q02908, Q03195, Q03280, Q03330, Q03338, Q03434, Q03532, Q03661, Q03707, Q03750, Q03761, Q03774, Q03833, Q03940, Q03973, Q04002, Q04003, Q04031, Q04116, Q04217, Q04225, Q04226, Q04347, Q04500, Q04545, Q04600, Q04660, Q04673, Q04693, Q04779, Q05021, Q05022, Q05123, Q05471, Q05506, Q05543, Q05635, Q05775, Q05812, Q05958, Q06053, Q06106, Q06214, Q06218, Q06224, Q06287, Q06337, Q06344, Q06406, Q06505, Q06506, Q06511, Q06629, Q06631, Q06639, Q06679, Q06697, Q07457, Q07458, Q07478, Q07794, Q07953, Q08162, Q08208, Q08237, Q08421, Q08647, Q08649, Q08686, Q08746, Q08887, Q08923, Q08925, Q08965, Q08981, Q12060, Q12080, Q12109, Q12114, Q12136, Q12149, Q12159, Q12178, Q12186, Q12211, Q12220, Q12247, Q12309, Q12345, Q12363, Q12389, Q12433, Q12460, Q12472, Q12499, Q12514, Q12692, Q12754, Q2V2Q1, Q3E705, Q3E754, Q6Q547, Q99207, Q99216, Q99314, Q99383, Q9URQ3
...GO:0044428	o	30.669	18.245	1.681	353	1151	210	1151	4.71e-12	3.69e-09	nuclear part	O13297, P02293, P02294, P02309, P04911, P05755, P05756, P06105, P06634, P06778, P06785, P06786, P07261, P07278, P09798, P09959, P0C2I9, P0CX37, P10080, P10081, P10962, P10964, P11632, P12684, P13382, P13393, P13574, P14164, P14832, P14906, P14907, P15424, P15436, P15565, P15646, P15790, P17629, P17890, P18480, P18888, P19263, P19454, P19659, P20050, P20053, P20095, P20447, P20448, P20449, P20676, P21538, P21951, P21957, P22082, P22138, P22579, P23255, P23293, P23615, P24384, P24783, P25302, P25357, P25441, P25443, P25554, P25582, P25588, P25627, P26793, P27476, P27692, P28004, P28320, P28777, P29056, P29295, P29468, P29539, P31111, P31385, P31539, P32288, P32494, P32495, P32499, P32504, P32527, P32558, P32561, P32583, P32591, P32597, P32639, P32657, P32776, P32832, P32833, P32892, P33201, P33203, P33297, P33298, P33299, P33322, P33331, P33399, P33411, P33417, P33750, P34161, P34247, P35177, P35187, P35189, P35194, P35817, P36009, P36049, P36053, P36080, P36084, P36124, P36160, P37838, P38112, P38121, P38129, P38144, P38199, P38205, P38255, P38282, P38333, P38336, P38351, P38779, P38793, P38801, P38803, P38805, P38806, P38827, P38859, P38882, P38883, P38911, P38920, P38931, P38961, P38996, P39001, P39073, P39517, P39520, P39521, P39678, P39705, P39715, P39744, P39927, P40007, P40010, P40018, P40055, P40069, P40075, P40078, P40154, P40327, P40348, P40457, P40470, P40489, P40493, P40505, P40517, P40693, P40963, P41812, P41895, P41896, P42073, P42846, P43572, P43579, P43586, P43609, P45976, P46669, P46678, P46947, P46957, P47006, P47037, P47047, P47077, P47083, P47110, P48164, P48234, P48240, P48361, P49687, P50105, P51979, P52488, P52910, P53040, P53064, P53114, P53136, P53148, P53165, P53168, P53254, P53261, P53267, P53276, P53313, P53549, P53551, P53552, P53628, P53718, P53725, P53742, P53743, P53833, P53854, P53883, P53905, P53914, P53927, P53940, P53941, P53946, P53973, P60010, P61830, P80428, P89105, Q00916, Q01080, Q01329, Q01454, Q01560, Q01939, Q02206, Q02336, Q02455, Q02555, Q02647, Q02724, Q02775, Q02821, Q02892, Q02908, Q03012, Q03048, Q03280, Q03281, Q03330, Q03338, Q03388, Q03434, Q03532, Q03661, Q03707, Q03750, Q03761, Q03774, Q03790, Q03940, Q03973, Q04002, Q04003, Q04031, Q04116, Q04217, Q04225, Q04226, Q04383, Q04500, Q04660, Q04673, Q04693, Q04779, Q05021, Q05022, Q05123, Q05166, Q05471, Q05515, Q05543, Q05942, Q05948, Q06053, Q06106, Q06205, Q06214, Q06218, Q06224, Q06287, Q06337, Q06344, Q06406, Q06411, Q06506, Q06511, Q06624, Q06629, Q06631, Q06639, Q06679, Q06697, Q07457, Q07458, Q07478, Q08162, Q08208, Q08647, Q08649, Q08746, Q08923, Q08965, Q12060, Q12080, Q12136, Q12149, Q12159, Q12186, Q12211, Q12220, Q12247, Q12250, Q12306, Q12309, Q12345, Q12348, Q12389, Q12433, Q12460, Q12472, Q12499, Q12692, Q12754, Q3E705, Q6Q547, Q99207, Q99216, Q99314, Q99383
.....GO:0019219	o	20.504	10.947	1.873	236	1151	126	1151	3.37e-10	1.85e-07	regulation of nucleobase-containing compound metabolic process	O13297, O14467, P00445, P00950, P01120, P02293, P02309, P02829, P04147, P04807, P04911, P06105, P06786, P06843, P07248, P07259, P07261, P07278, P09798, P09959, P0C0X0, P11412, P11632, P11633, P12383, P13393, P13574, P14120, P14164, P14922, P15646, P15790, P15873, P16649, P17106, P17157, P17629, P18412, P18480, P18888, P19263, P19454, P19659, P20134, P21538, P21957, P22035, P22082, P22147, P22579, P23255, P23293, P23615, P25302, P25357, P25502, P25554, P25588, P25694, P27692, P28004, P28707, P29055, P29056, P29311, P29539, P29547, P31111, P31378, P31385, P32389, P32432, P32445, P32447, P32494, P32499, P32527, P32558, P32561, P32571, P32591, P32597, P32657, P32776, P32832, P32833, P33297, P33298, P33299, P33417, P34161, P34219, P35169, P35177, P35187, P35189, P35817, P36053, P36124, P38074, P38129, P38140, P38144, P38157, P38199, P38255, P38351, P38801, P38803, P38827, P38850, P38882, P38883, P38931, P39001, P39073, P39520, P39521, P39678, P39705, P39956, P40075, P40151, P40154, P40161, P40327, P40457, P40466, P40470, P40489, P40505, P40517, P40535, P40553, P40562, P40963, P41696, P41813, P41895, P41896, P42073, P43572, P43579, P43609, P46678, P49687, P50104, P50105, P52553, P53040, P53044, P53063, P53064, P53082, P53114, P53165, P53184, P53261, P53272, P53276, P53297, P53438, P53549, P53551, P53552, P53628, P53718, P53946, P53973, P80428, P89105, Q00416, Q01217, Q01448, Q01560, Q01939, Q02206, Q02336, Q02455, Q02642, Q02792, Q02908, Q02961, Q03012, Q03063, Q03280, Q03330, Q03373, Q03388, Q03661, Q03750, Q03761, Q03790, Q03833, Q03940, Q03973, Q04002, Q04003, Q04004, Q04116, Q04226, Q04545, Q04673, Q04779, Q05021, Q05123, Q05166, Q05471, Q05543, Q05958, Q06337, Q06411, Q06505, Q06629, Q06639, Q06679, Q06697, Q07457, Q07458, Q07478, Q07794, Q08421, Q08649, Q08887, Q08923, Q08981, Q12060, Q12114, Q12159, Q12345, Q12363, Q12433, Q12514, Q12692, Q2V2Q1, Q99314
..GO:0031224	u	6.169	13.814	0.447	71	1151	159	1151	9.75e-10	3.82e-07	intrinsic component of membrane	P04710, P04840, P05030, P05374, P07213, P07259, P12684, P13587, P14906, P16547, P17898, P18239, P21147, P21560, P25297, P25365, P25371, P29704, P32353, P32462, P32563, P32901, P33302, P33333, P34237, P35723, P36015, P36147, P38087, P38142, P38264, P38626, P38695, P38931, P38988, P39004, P39010, P39109, P39952, P39986, P40046, P40075, P40312, P40531, P40970, P43555, P43585, P46956, P46964, P47075, P49573, P53192, P53723, Q01926, Q02725, Q02776, Q03102, Q03281, Q03707, Q03880, Q04013, Q04697, Q04947, Q06089, Q06493, Q06508, Q07914, Q08179, Q08822, Q12402, Q99287
....GO:0034654	o	20.938	12.076	1.734	241	1151	139	1151	1.21e-08	3.9e-06	nucleobase-containing compound biosynthetic process	O14467, P00830, P04037, P05030, P05626, P06778, P06785, P06843, P07170, P07244, P07245, P07248, P07251, P07259, P07261, P07283, P07284, P09440, P09457, P09938, P09959, P0C2I9, P10964, P11632, P11633, P12383, P12385, P13298, P13382, P13393, P13574, P14164, P14742, P14922, P15424, P15436, P15454, P15700, P15873, P16550, P16649, P17106, P17629, P17890, P18412, P18480, P18562, P18888, P19263, P20051, P20134, P21373, P21538, P21951, P21957, P22035, P22082, P22138, P22217, P22579, P23255, P23293, P23615, P25302, P25441, P25502, P25554, P26793, P27616, P27692, P28272, P28274, P29055, P29056, P29952, P30902, P31385, P32389, P32432, P32447, P32494, P32558, P32561, P32563, P32591, P32597, P32657, P32776, P32832, P33417, P34161, P35169, P35177, P35189, P35817, P36010, P36053, P36124, P38009, P38077, P38088, P38121, P38129, P38140, P38144, P38157, P38199, P38255, P38351, P38625, P38689, P38705, P38882, P38931, P38972, P38996, P39001, P39073, P39520, P39521, P39678, P39927, P39956, P40040, P40154, P40161, P40466, P40470, P40489, P40505, P40506, P40535, P40553, P40963, P41696, P41895, P41896, P41940, P42073, P42938, P43572, P43577, P43579, P43609, P46669, P46678, P46957, P47006, P47110, P47143, P49723, P50094, P50095, P50104, P50105, P53040, P53063, P53064, P53114, P53165, P53184, P53276, P53438, P53552, P53617, P53628, P53718, P53909, P53946, P53973, P54113, P61830, P80210, P80428, P89105, Q00416, Q01080, Q01329, Q01448, Q02046, Q02206, Q02336, Q02555, Q02642, Q02792, Q02908, Q03280, Q03330, Q03434, Q03661, Q03750, Q03761, Q03833, Q03940, Q03973, Q04002, Q04003, Q04004, Q04116, Q04178, Q04226, Q04545, Q04673, Q04779, Q05021, Q05123, Q05471, Q05543, Q05911, Q05958, Q06178, Q06224, Q06337, Q06405, Q06505, Q06629, Q06639, Q06679, Q06697, Q07457, Q07458, Q07478, Q07794, Q08421, Q08649, Q08887, Q08923, Q08981, Q12060, Q12159, Q12178, Q12265, Q12345, Q12363, Q12433, Q12472, Q12514, Q12692, Q2V2Q1, Q6Q547, Q99314
......GO:2000112	o	21.633	12.685	1.705	249	1151	146	1151	1.47e-08	4.25e-06	regulation of cellular macromolecule biosynthetic process	O13297, O14467, P00445, P01120, P02293, P02309, P02829, P04147, P04807, P04911, P05755, P06105, P06786, P06843, P07248, P07253, P07260, P07261, P09798, P09959, P10080, P11412, P11632, P11633, P12383, P13393, P13574, P14066, P14164, P14922, P15424, P15646, P15790, P15873, P16649, P17106, P17157, P17629, P18412, P18480, P18888, P19263, P19454, P19659, P20134, P21538, P21560, P21957, P22035, P22082, P22147, P22579, P23255, P23293, P23301, P23615, P25302, P25357, P25443, P25502, P25554, P25588, P25694, P27692, P28004, P28707, P29055, P29056, P29311, P29539, P29547, P31378, P31383, P31385, P32324, P32389, P32432, P32445, P32447, P32471, P32494, P32499, P32527, P32558, P32561, P32571, P32591, P32597, P32657, P32776, P32832, P32833, P32911, P33297, P33298, P33299, P33309, P33417, P33892, P34161, P34219, P35177, P35189, P35817, P36053, P36124, P38011, P38074, P38129, P38140, P38144, P38157, P38199, P38255, P38300, P38351, P38431, P38803, P38827, P38882, P38883, P38931, P39001, P39015, P39073, P39517, P39520, P39521, P39678, P39705, P39730, P39935, P39956, P40075, P40154, P40161, P40327, P40457, P40466, P40470, P40489, P40505, P40513, P40517, P40535, P40553, P40963, P41696, P41813, P41895, P41896, P43535, P43572, P43579, P43609, P45978, P46678, P49687, P50104, P50105, P52553, P53040, P53044, P53063, P53064, P53082, P53114, P53165, P53184, P53235, P53272, P53276, P53297, P53438, P53549, P53551, P53552, P53628, P53718, P53946, P53973, P80428, P89105, Q00416, Q01217, Q01448, Q01560, Q01939, Q02206, Q02336, Q02455, Q02642, Q02792, Q02908, Q03012, Q03063, Q03195, Q03280, Q03330, Q03373, Q03388, Q03661, Q03750, Q03761, Q03790, Q03833, Q03940, Q03973, Q04002, Q04003, Q04004, Q04116, Q04226, Q04545, Q04673, Q04779, Q05021, Q05123, Q05166, Q05471, Q05543, Q05958, Q06337, Q06505, Q06629, Q06639, Q06679, Q06697, Q07457, Q07458, Q07478, Q07794, Q08179, Q08421, Q08649, Q08887, Q08923, Q08925, Q08981, Q12060, Q12114, Q12159, Q12345, Q12363, Q12433, Q12514, Q12692, Q2V2Q1, Q99314
.....GO:0010468	o	22.850	13.988	1.634	263	1151	161	1151	5e-08	1.19e-05	regulation of gene expression	O13297, O14467, P00445, P01120, P02293, P02309, P04147, P04807, P04911, P05453, P05755, P06105, P06843, P07248, P07253, P07260, P07261, P09959, P0C0X0, P10080, P10081, P11412, P11632, P11633, P12383, P13393, P13574, P14066, P14120, P14164, P14922, P15424, P15646, P15790, P15873, P16649, P17106, P17157, P17629, P18412, P18480, P18888, P19263, P19454, P19659, P20134, P20449, P21538, P21560, P21957, P22035, P22082, P22147, P22579, P23255, P23293, P23301, P23615, P24783, P25302, P25357, P25443, P25502, P25554, P25555, P25588, P27692, P28004, P29055, P29056, P29311, P29539, P29547, P31383, P31385, P32324, P32389, P32432, P32447, P32471, P32494, P32499, P32527, P32558, P32561, P32591, P32597, P32657, P32776, P32832, P32833, P32911, P33201, P33297, P33298, P33299, P33309, P33417, P33892, P34161, P34219, P35177, P35189, P35817, P36053, P36124, P38011, P38074, P38129, P38140, P38144, P38157, P38199, P38255, P38300, P38336, P38351, P38431, P38801, P38827, P38882, P38931, P38996, P39001, P39015, P39073, P39517, P39520, P39521, P39678, P39705, P39730, P39935, P39956, P40075, P40154, P40161, P40327, P40457, P40466, P40470, P40489, P40505, P40513, P40517, P40535, P40553, P40963, P41696, P41812, P41813, P41895, P41896, P42073, P43535, P43572, P43579, P43609, P45978, P46678, P47047, P48240, P49687, P50104, P50105, P52553, P53040, P53063, P53064, P53082, P53114, P53165, P53184, P53235, P53261, P53272, P53276, P53297, P53438, P53549, P53551, P53552, P53617, P53628, P53718, P53725, P53833, P53905, P53946, P53973, P80428, P89105, Q00416, Q01217, Q01448, Q01560, Q01662, Q01939, Q02206, Q02336, Q02455, Q02555, Q02642, Q02792, Q02908, Q03012, Q03063, Q03195, Q03280, Q03330, Q03373, Q03388, Q03661, Q03750, Q03761, Q03790, Q03833, Q03940, Q03973, Q04002, Q04003, Q04004, Q04116, Q04226, Q04545, Q04673, Q04779, Q05021, Q05123, Q05166, Q05471, Q05543, Q05958, Q06337, Q06505, Q06629, Q06639, Q06679, Q06697, Q07457, Q07458, Q07478, Q07794, Q08162, Q08179, Q08421, Q08649, Q08887, Q08923, Q08925, Q08981, Q12060, Q12114, Q12149, Q12159, Q12345, Q12363, Q12433, Q12514, Q12692, Q2V2Q1, Q99314, Q99383
...GO:0006325	o	10.947	5.039	2.172	126	1151	58	1151	1.97e-07	3.72e-05	chromatin organization	P02293, P02294, P02309, P04911, P06105, P06786, P06843, P07248, P07261, P11632, P11633, P13712, P14164, P14832, P14922, P15646, P15873, P16649, P17106, P18480, P18888, P21951, P22082, P22579, P23615, P25357, P25554, P25588, P29539, P31385, P32447, P32494, P32499, P32558, P32561, P32591, P32597, P32657, P32832, P32833, P35177, P35189, P35817, P36053, P36124, P38074, P38129, P38144, P38199, P38255, P38351, P38806, P38827, P38911, P39001, P39520, P39705, P39956, P39979, P40019, P40075, P40154, P40161, P40466, P40505, P40963, P41813, P43572, P43579, P43583, P43609, P48570, P52910, P53040, P53064, P53165, P53184, P53551, P53946, P53973, P60010, P61830, P80428, P89105, Q01448, Q01574, Q01939, Q02159, Q02206, Q02336, Q02455, Q02555, Q02908, Q03012, Q03330, Q03388, Q03661, Q03761, Q03833, Q03940, Q04003, Q04779, Q05123, Q05471, Q05580, Q06205, Q06337, Q06505, Q06592, Q06629, Q06639, Q06697, Q07457, Q07458, Q07478, Q07794, Q08649, Q08923, Q08925, Q12060, Q12345, Q12433, Q12447, Q12495, Q12692, Q99314
.GO:0005488	o	81.147	72.285	1.123	934	1151	832	1151	5.97e-07	0.000102	binding	O13297, O14467, P00044, P00330, P00331, P00358, P00359, P00360, P00427, P00445, P00447, P00498, P00549, P00560, P00815, P00817, P00830, P00899, P00924, P00925, P00927, P00937, P00958, P01120, P01123, P02293, P02294, P02309, P02406, P02829, P02994, P03871, P03872, P03965, P04037, P04147, P04449, P04456, P04801, P04802, P04803, P04806, P04807, P04911, P05030, P05317, P05453, P05694, P05737, P05738, P05739, P05748, P05749, P05750, P05755, P05756, P05759, P06101, P06105, P06106, P06115, P06168, P06169, P06208, P06634, P06738, P06778, P06786, P06787, P06843, P07149, P07170, P07213, P07244, P07245, P07246, P07248, P07251, P07253, P07256, P07257, P07259, P07260, P07261, P07263, P07264, P07278, P07284, P07342, P07560, P07806, P07991, P08524, P08566, P09064, P09201, P09435, P09436, P09440, P09624, P09798, P09938, P09950, P09959, P0C0W9, P0C0X0, P0C2I9, P0CS91, P0CX23, P0CX25, P0CX35, P0CX41, P0CX43, P0CX45, P0CX47, P0CX49, P0CX53, P0CX55, P0CX84, P10080, P10081, P10507, P10591, P10592, P10659, P10664, P10869, P10962, P10964, P11076, P11412, P11484, P11632, P11633, P11914, P12383, P12385, P12612, P12684, P12887, P12945, P13188, P13382, P13393, P13574, P13587, P13663, P13712, P14120, P14126, P14164, P14540, P14682, P14742, P14832, P14906, P14907, P14922, P15108, P15180, P15424, P15436, P15454, P15565, P15624, P15625, P15646, P15700, P15705, P15731, P15790, P15873, P15891, P15992, P16120, P16140, P16474, P16521, P16550, P16649, P16861, P16862, P17076, P17106, P17157, P17255, P17423, P17442, P17505, P17536, P17629, P17709, P17890, P17891, P17898, P17967, P18412, P18480, P18562, P18888, P19097, P19263, P19358, P19414, P19454, P19659, P19812, P19882, P20050, P20051, P20053, P20095, P20134, P20424, P20447, P20448, P20449, P20676, P20967, P21147, P21243, P21269, P21373, P21538, P21560, P21576, P21951, P21954, P21957, P21965, P22035, P22082, P22134, P22137, P22138, P22141, P22147, P22203, P22515, P22579, P22936, P22943, P23180, P23254, P23255, P23292, P23293, P23301, P23542, P23615, P24280, P24384, P24783, P25039, P25302, P25343, P25357, P25365, P25366, P25369, P25371, P25374, P25375, P25379, P25441, P25443, P25451, P25491, P25502, P25554, P25555, P25567, P25582, P25588, P25627, P25694, P26321, P26637, P26783, P26784, P26785, P26793, P27476, P27616, P27692, P28004, P28239, P28241, P28263, P28273, P28274, P28495, P28707, P28777, P28834, P29055, P29056, P29295, P29311, P29453, P29468, P29509, P29539, P29547, P29952, P30624, P30822, P31111, P31116, P31373, P31378, P31385, P31412, P31539, P31688, P31787, P32074, P32190, P32264, P32288, P32324, P32327, P32340, P32342, P32353, P32356, P32377, P32379, P32380, P32389, P32419, P32432, P32445, P32447, P32454, P32457, P32462, P32463, P32468, P32471, P32494, P32495, P32496, P32497, P32499, P32504, P32521, P32527, P32558, P32561, P32563, P32565, P32571, P32582, P32589, P32590, P32591, P32597, P32599, P32602, P32639, P32657, P32771, P32776, P32787, P32832, P32833, P32861, P32892, P32898, P32911, P32939, P33201, P33203, P33297, P33298, P33299, P33302, P33309, P33313, P33322, P33327, P33331, P33399, P33416, P33417, P33891, P33892, P34161, P34167, P34216, P34219, P34730, P34760, P35169, P35177, P35187, P35189, P35191, P35194, P35691, P35719, P35817, P35997, P36008, P36009, P36010, P36013, P36015, P36018, P36036, P36047, P36049, P36053, P36059, P36080, P36084, P36124, P36141, P36149, P36160, P36421, P36534, P36775, P37012, P37291, P37292, P37302, P37838, P37898, P38009, P38011, P38071, P38074, P38075, P38086, P38088, P38112, P38116, P38121, P38129, P38137, P38140, P38144, P38153, P38157, P38197, P38199, P38205, P38219, P38249, P38255, P38264, P38266, P38282, P38300, P38333, P38336, P38345, P38351, P38431, P38523, P38625, P38630, P38636, P38687, P38689, P38698, P38701, P38705, P38707, P38708, P38754, P38768, P38779, P38787, P38788, P38791, P38801, P38803, P38804, P38805, P38806, P38827, P38828, P38833, P38845, P38850, P38859, P38879, P38882, P38883, P38891, P38910, P38911, P38920, P38931, P38934, P38972, P38996, P39001, P39002, P39010, P39015, P39073, P39077, P39078, P39079, P39109, P39111, P39517, P39520, P39521, P39522, P39533, P39676, P39678, P39705, P39714, P39730, P39744, P39925, P39927, P39935, P39938, P39952, P39954, P39956, P39959, P39960, P39968, P39976, P39986, P40002, P40005, P40010, P40018, P40019, P40024, P40040, P40046, P40069, P40075, P40078, P40081, P40106, P40151, P40154, P40160, P40161, P40202, P40212, P40312, P40316, P40327, P40348, P40413, P40457, P40466, P40489, P40495, P40505, P40506, P40510, P40513, P40517, P40525, P40535, P40562, P40693, P40825, P40961, P40963, P40970, P41057, P41058, P41277, P41338, P41696, P41805, P41807, P41811, P41812, P41813, P41814, P41895, P41896, P41920, P41921, P41940, P42073, P42846, P42938, P42949, P43535, P43555, P43572, P43579, P43583, P43585, P43586, P43588, P43603, P43609, P43616, P45976, P45978, P46655, P46669, P46672, P46678, P46681, P46784, P46947, P46956, P46957, P46964, P46969, P47019, P47037, P47039, P47047, P47075, P47077, P47079, P47083, P47089, P47110, P47117, P47119, P47120, P47124, P47133, P47143, P47176, P48234, P48240, P48510, P48525, P48606, P48836, P49089, P49166, P49167, P49573, P49687, P49723, P50094, P50095, P50104, P50105, P51979, P52488, P52553, P52893, P52910, P52918, P53040, P53044, P53063, P53064, P53072, P53079, P53090, P53114, P53136, P53141, P53148, P53165, P53168, P53184, P53192, P53193, P53199, P53221, P53235, P53252, P53254, P53261, P53267, P53276, P53297, P53312, P53318, P53438, P53549, P53551, P53552, P53598, P53617, P53622, P53628, P53691, P53718, P53723, P53725, P53741, P53742, P53743, P53833, P53852, P53860, P53875, P53883, P53889, P53905, P53909, P53914, P53927, P53940, P53941, P53973, P54113, P54838, P54885, P60010, P61830, P69771, P80210, P80428, P89105, P89886, Q00055, Q00416, Q00711, Q00764, Q00916, Q00955, Q01080, Q01163, Q01217, Q01329, Q01389, Q01448, Q01454, Q01476, Q01560, Q01574, Q01662, Q01802, Q01852, Q01855, Q01926, Q01939, Q01976, Q02159, Q02196, Q02201, Q02206, Q02326, Q02336, Q02455, Q02486, Q02555, Q02642, Q02647, Q02725, Q02775, Q02776, Q02792, Q02821, Q02890, Q02892, Q02908, Q02961, Q03012, Q03048, Q03063, Q03195, Q03281, Q03330, Q03338, Q03373, Q03388, Q03434, Q03532, Q03558, Q03690, Q03707, Q03750, Q03761, Q03774, Q03790, Q03833, Q03940, Q03973, Q04002, Q04003, Q04004, Q04013, Q04067, Q04116, Q04178, Q04217, Q04225, Q04226, Q04344, Q04383, Q04409, Q04500, Q04545, Q04600, Q04660, Q04673, Q04693, Q04697, Q04773, Q04779, Q04792, Q04894, Q04947, Q05021, Q05022, Q05040, Q05050, Q05123, Q05166, Q05471, Q05506, Q05515, Q05543, Q05580, Q05635, Q05775, Q05779, Q05911, Q05933, Q05942, Q05948, Q05958, Q06053, Q06103, Q06106, Q06178, Q06205, Q06218, Q06224, Q06287, Q06337, Q06344, Q06350, Q06406, Q06411, Q06440, Q06449, Q06493, Q06505, Q06506, Q06511, Q06592, Q06624, Q06629, Q06631, Q06639, Q06679, Q06685, Q06697, Q06704, Q07457, Q07478, Q07540, Q07794, Q07914, Q07953, Q08162, Q08179, Q08208, Q08237, Q08245, Q08422, Q08647, Q08649, Q08686, Q08746, Q08822, Q08923, Q08925, Q08965, Q08972, Q08981, Q12018, Q12020, Q12060, Q12080, Q12109, Q12114, Q12118, Q12136, Q12149, Q12154, Q12156, Q12159, Q12166, Q12178, Q12186, Q12211, Q12220, Q12230, Q12250, Q12265, Q12287, Q12306, Q12309, Q12329, Q12335, Q12363, Q12377, Q12389, Q12402, Q12428, Q12433, Q12434, Q12447, Q12449, Q12460, Q12472, Q12480, Q12495, Q12496, Q12499, Q12508, Q12513, Q12514, Q12692, Q12754, Q2V2Q1, Q6Q547, Q6Q560, Q99207, Q99216, Q99287, Q99314, Q99383, Q9URQ3
...GO:0044427	o	11.468	5.647	2.031	132	1151	65	1151	7.07e-07	0.000114	chromosomal part	P02293, P02294, P02309, P04911, P06105, P06786, P07278, P09959, P13382, P14832, P15436, P15873, P17106, P17629, P18480, P18888, P20050, P21951, P22082, P22579, P23293, P23615, P25302, P25357, P25555, P25588, P27692, P29295, P29539, P30822, P31111, P31385, P32447, P32499, P32504, P32558, P32561, P32591, P32597, P32657, P32832, P32833, P33322, P33417, P34161, P35187, P35189, P35817, P36124, P38121, P38144, P38198, P38199, P38255, P38351, P38630, P38827, P38859, P38882, P38920, P38961, P39001, P39520, P39521, P39678, P40075, P40154, P40348, P40489, P40505, P40553, P40562, P40963, P43579, P43609, P46957, P47037, P47110, P49687, P53064, P53148, P53168, P53184, P53267, P53276, P53551, P53552, P53628, P53946, P53973, P60010, P61830, P80428, P89105, Q00416, Q01454, Q02206, Q02336, Q02908, Q03012, Q03330, Q03388, Q03661, Q03707, Q03940, Q03973, Q04002, Q04003, Q04116, Q04383, Q04779, Q05123, Q05471, Q05515, Q05543, Q05948, Q06205, Q06411, Q06629, Q06639, Q06697, Q07457, Q07458, Q07478, Q07794, Q08649, Q08923, Q12309, Q12345, Q12495, Q12692, Q99314
