id_	over/under	perc_associated_foreground	perc_associated_background	fold_enrichment_foreground_2_background	foreground_count	foreground_n	background_count	background_n	p_uncorrected	FDR	description	ANs_foreground
....GO:0032777	o	0.521	0.000	inf	6	1151	0	1151	0.031	0.75	Piccolo NuA4 histone acetyltransferase complex	P38806, P40963, P43572, Q04003, Q08649, Q99314
.........GO:0061413	o	0.348	0.000	inf	4	1151	0	1151	0.125	1	regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source	P12383, P38140, P38157, P50104
..........GO:0061414	o	0.348	0.000	inf	4	1151	0	1151	0.125	1	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source	P12383, P38140, P38157, P50104
....GO:0007129	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	synapsis	P20050, P31111, P51979
.......GO:0034247	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	snoRNA splicing	P20053, P20095, Q06224
.....GO:0033255	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	SAS acetyltransferase complex	P40963, Q04003, Q99314
.....GO:0006285	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	base-excision repair, AP site formation	P12887, P22134, P31378
.....GO:0071020	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	post-spliceosomal complex	P24384, P33411, Q02775
......GO:0071021	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	U2-type post-spliceosomal complex	P24384, P33411, Q02775
....GO:0043625	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	delta DNA polymerase complex	P15436, P46957, P47110
......GO:0000795	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	synaptonemal complex	P06786, P31111, P38920
.....GO:0099086	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	synaptonemal structure	P06786, P31111, P38920
...GO:0033677	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	DNA/RNA helicase activity	P40562, Q00416, Q06218
.....GO:0090282	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	positive regulation of transcription involved in G2/M transition of mitotic cell cycle	P40466, P41813, Q08887
.......GO:0008310	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	single-stranded DNA 3'-5' exodeoxyribonuclease activity	P21951, P46957, P47110
......GO:0008297	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	single-stranded DNA exodeoxyribonuclease activity	P21951, P46957, P47110
........GO:2000218	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	negative regulation of invasive growth in response to glucose limitation	P20134, Q03063, Q03373
...GO:1990526	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	Ste12p-Dig1p-Dig2p complex	P13574, Q03063, Q03373
...GO:1990527	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	Tec1p-Ste12p-Dig1p complex	P13574, P18412, Q03063
...GO:0000995	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	transcription factor activity, core RNA polymerase III binding	P13393, P29056, P46678
....GO:0001026	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	TFIIIB-type transcription factor activity	P13393, P29056, P46678
......GO:0000126	o	0.261	0.000	inf	3	1151	0	1151	0.25	1	transcription factor TFIIIB complex	P13393, P29056, P46678
...GO:0089713	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	Cbf1-Met4-Met28 complex	P17106, P32389
......GO:1900470	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	positive regulation of phosphatidylserine biosynthetic process	P31385, P39001
.......GO:1900090	o	0.174	0.000	inf	2	1151	0	1151	0.5	1	positive regulation of inositol biosynthetic process	P17106, P31385
