id_	over/under	perc_associated_foreground	perc_associated_background	fold_enrichment_foreground_2_background	foreground_count	foreground_n	background_count	background_n	p_uncorrected	FDR	description	ANs_foreground
.UPK:0371	o	0.173	0.000	inf	2	1159	0	1159	0.5	1	Homeobox	P34161, Q04116
.UPK:0642	o	0.173	0.000	inf	2	1159	0	1159	0.5	1	Proline metabolism	P07275, P25502
...UPK:0806	o	0.173	0.000	inf	2	1159	0	1159	0.5	1	Transcription termination	P53063, Q02792
..UPK:0799	o	0.173	0.000	inf	2	1159	0	1159	0.5	1	Topoisomerase	P06786, P38086
.UPK:0462	o	0.173	0.000	inf	2	1159	0	1159	0.5	1	Maltose metabolism	P38157, P38158
...UPK:0571	o	0.086	0.000	inf	1	1159	0	1159	1	1	Peptide transport	P32901
...UPK:0146	o	0.086	0.000	inf	1	1159	0	1159	1	1	Chitin degradation	Q06350
..UPK:0624	o	0.086	0.000	inf	1	1159	0	1159	1	1	Polysaccharide degradation	Q06350
.UPK:0882	o	0.086	0.000	inf	1	1159	0	1159	1	1	Thioester bond	Q02159
.UPK:0664	o	0.086	0.000	inf	1	1159	0	1159	1	1	Pyridoxine biosynthesis	P38075
.UPK:0736	o	0.086	0.000	inf	1	1159	0	1159	1	1	Signalosome	Q12348
.UPK:0409	o	0.086	0.000	inf	1	1159	0	1159	1	1	Iron storage	Q07540
.UPK:0727	o	0.086	0.000	inf	1	1159	0	1159	1	1	SH2 domain	P23615
.UPK:0156	o	3.624	1.122	3.231	42	1159	13	1159	9.45e-05	0.00213	Chromatin regulator	P22579, P25554, P31385, P32447, P32494, P32561, P32597, P32657, P32832, P36124, P38144, P38199, P38255, P38806, P38827, P39001, P40154, P40505, P40963, P43609, P53973, P80428, Q01448, Q02206, Q02908, Q03330, Q03388, Q03940, Q04003, Q04779, Q05123, Q05471, Q06337, Q06592, Q06629, Q06639, Q07457, Q07458, Q08649, Q08923, Q12692, Q99314
.UPK:0103	o	0.518	0.173	3.000	6	1159	2	1159	0.288	1	Bromodomain	P22082, P32597, P35177, P35817, Q02206, Q03330
..UPK:1135	o	0.259	0.086	3.000	3	1159	1	1159	0.625	1	Mitochondrion nucleoid	P20967, P32787, Q04013
..UPK:0805	o	12.166	4.832	2.518	141	1159	56	1159	2.19e-10	3.46e-08	Transcription regulation	O14467, P06843, P07248, P07261, P09959, P11632, P11633, P12383, P13574, P14164, P14922, P16649, P17106, P17629, P18412, P18480, P18888, P19263, P19659, P20134, P21538, P21957, P22035, P22082, P22579, P23255, P23615, P25302, P25502, P25554, P29055, P29056, P31385, P32389, P32432, P32447, P32494, P32558, P32561, P32591, P32597, P32657, P32776, P32832, P33417, P34161, P35177, P35189, P35817, P36053, P36124, P38129, P38140, P38144, P38157, P38255, P38351, P38931, P39001, P39073, P39520, P39521, P39678, P39956, P40154, P40161, P40470, P40489, P40505, P40535, P40553, P40963, P41696, P41895, P41896, P43572, P43579, P43609, P46678, P50104, P50105, P53040, P53063, P53064, P53114, P53165, P53438, P53552, P53628, P53718, P53946, P53973, P80428, P89105, Q01448, Q02206, Q02336, Q02642, Q02792, Q02908, Q03280, Q03330, Q03661, Q03750, Q03761, Q03833, Q03940, Q03973, Q04002, Q04003, Q04116, Q04226, Q04545, Q04673, Q04779, Q05021, Q05123, Q05471, Q05543, Q05958, Q06337, Q06505, Q06629, Q06639, Q06697, Q07458, Q07794, Q08421, Q08649, Q08887, Q08923, Q08981, Q12060, Q12159, Q12345, Q12363, Q12433, Q12514, Q12692, Q2V2Q1, Q99314
.UPK:0010	o	4.314	1.726	2.500	50	1159	20	1159	0.00036	0.00759	Activator	P06843, P07248, P07261, P09959, P12383, P13574, P14066, P14164, P18412, P18480, P18888, P19263, P19659, P22035, P22082, P22579, P25502, P29056, P32389, P32558, P32591, P33417, P33892, P35177, P36124, P38140, P38157, P38351, P38931, P39001, P39073, P39678, P43535, P46678, P53064, P53114, P53628, P80428, P89105, Q03330, Q03833, Q03940, Q05471, Q05958, Q06337, Q06697, Q08649, Q08887, Q12514, Q12692
.UPK:0678	o	3.106	1.294	2.400	36	1159	15	1159	0.00417	0.0659	Repressor	P06843, P14922, P16649, P21957, P22579, P31385, P32558, P32561, P34161, P36124, P38144, P38255, P38351, P38931, P39001, P39073, P39956, P40489, P40505, P40535, P40963, P41814, P53718, P53973, Q01448, Q02642, Q03833, Q04003, Q04116, Q04779, Q06629, Q07458, Q08923, Q08981, Q12514, Q99314
...UPK:0269	o	0.604	0.259	2.333	7	1159	3	1159	0.343	1	Exonuclease	P15436, P22147, P26793, Q02792, Q08162, Q08237, Q12149
.UPK:0804	o	13.201	6.040	2.186	153	1159	70	1159	5.34e-09	2.81e-07	Transcription	O14467, P06843, P07248, P07261, P09959, P10964, P11632, P11633, P12383, P13393, P13574, P14164, P14922, P16649, P17106, P17629, P17890, P18412, P18480, P18888, P19263, P19659, P20134, P21538, P21957, P22035, P22082, P22138, P22579, P23255, P23615, P25302, P25441, P25502, P25554, P27692, P29055, P29056, P31385, P32389, P32432, P32447, P32494, P32558, P32561, P32591, P32597, P32657, P32776, P32832, P33417, P34161, P35177, P35189, P35817, P36053, P36124, P38129, P38140, P38144, P38157, P38255, P38351, P38882, P38931, P39001, P39073, P39520, P39521, P39678, P39956, P40154, P40161, P40470, P40489, P40505, P40535, P40553, P40963, P41696, P41895, P41896, P43572, P43579, P43609, P46669, P46678, P47006, P50104, P50105, P53040, P53063, P53064, P53114, P53165, P53276, P53438, P53552, P53628, P53718, P53946, P53973, P80428, P89105, Q01080, Q01448, Q02206, Q02336, Q02642, Q02792, Q02908, Q03280, Q03330, Q03661, Q03750, Q03761, Q03833, Q03940, Q03973, Q04002, Q04003, Q04116, Q04226, Q04545, Q04673, Q04779, Q05021, Q05123, Q05471, Q05543, Q05958, Q06337, Q06505, Q06629, Q06639, Q06679, Q06697, Q07458, Q07794, Q08421, Q08649, Q08887, Q08923, Q08981, Q12060, Q12159, Q12345, Q12363, Q12433, Q12514, Q12692, Q2V2Q1, Q99314
..UPK:0347	o	2.761	1.294	2.133	32	1159	15	1159	0.0175	0.212	Helicase	P06634, P10081, P15424, P20447, P20448, P20449, P22082, P24384, P24783, P32597, P32639, P32657, P32892, P35187, P36009, P38086, P38112, P38144, P38859, P39517, P40562, P41896, P47047, P51979, Q00416, Q03532, Q03940, Q04217, Q05471, Q06218, Q07478, Q12389
.UPK:0238	o	8.283	4.055	2.043	96	1159	47	1159	2.92e-05	0.000839	DNA-binding	O14467, P02293, P02294, P02309, P04911, P06786, P06843, P07248, P07261, P09959, P0C2I9, P11632, P11633, P12383, P13382, P13393, P13574, P14164, P15436, P15873, P17106, P17255, P17890, P18412, P20050, P20134, P21538, P21951, P21957, P22035, P25302, P25357, P25502, P25555, P27476, P32389, P32432, P32445, P32504, P32527, P32591, P32657, P32787, P33322, P33417, P34161, P34219, P36036, P36775, P38071, P38086, P38140, P38144, P38157, P38630, P38845, P38859, P39001, P39015, P39521, P39678, P39956, P39959, P40151, P40154, P40161, P40348, P40466, P40489, P40535, P40562, P41696, P41813, P41895, P41896, P43609, P50104, P51979, P53438, P53551, P61830, P89105, Q01080, Q02486, Q03434, Q03833, Q03973, Q04013, Q04116, Q04545, Q05471, Q05543, Q05958, Q06639, Q12472, Q12692
...UPK:0239	o	0.690	0.345	2.000	8	1159	4	1159	0.386	1	DNA-directed DNA polymerase	P0C2I9, P13382, P15436, P21951, P46957, P47110, Q03434, Q12472
.UPK:0040	o	0.518	0.259	2.000	6	1159	3	1159	0.507	1	ANK repeat	P09959, P17442, P25302, P25631, P39010, P39678
.UPK:0450	o	0.345	0.173	2.000	4	1159	2	1159	0.687	1	Lipoyl	P12695, P16451, P19262, P39726
.UPK:0830	o	0.173	0.086	2.000	2	1159	1	1159	1	1	Ubiquinone	P32340, Q08822
.UPK:0566	o	0.173	0.086	2.000	2	1159	1	1159	1	1	Pantothenate biosynthesis	P38122, P38787
...UPK:0412	o	0.173	0.086	2.000	2	1159	1	1159	1	1	Isoleucine biosynthesis	P00927, P31116
..UPK:0187	o	0.173	0.086	2.000	2	1159	1	1159	1	1	Copper transport	P38636, P49573
.UPK:0596	o	0.173	0.086	2.000	2	1159	1	1159	1	1	Phosphopantetheine	P19097, P32463
.UPK:0614	o	0.173	0.086	2.000	2	1159	1	1159	1	1	Plasmid	P03871, P03872
.UPK:0616	o	0.173	0.086	2.000	2	1159	1	1159	1	1	Plasmid partition	P03871, P03872
.UPK:0319	o	0.173	0.086	2.000	2	1159	1	1159	1	1	Glycerol metabolism	P32190, P54838
