id	over/under	perc_associated_study	perc_associated_pop	fold_enrichment_study2pop	study_count	study_n	pop_count	pop_n	p_uncorrected	FDR	ANs_study
Bromodomain	o	0.534	0.178	3.000	6	1123	2	1123	0.288	1	P22082, P32597, P35177, P35817, Q02206, Q03330
Mitochondrion nucleoid	o	0.267	0.089	3.000	3	1123	1	1123	0.625	1	P20967, P32787, Q04013
Chromatin regulator	o	3.384	1.158	2.923	38	1123	13	1123	0.000539	0.0183	P22579, P25554, P31385, P32447, P32494, P32561, P32597, P32657, P32832, P36124, P38144, P38199, P38255, P38827, P39001, P40154, P40505, P43609, P53973, P80428, Q01448, Q02206, Q02908, Q03330, Q03388, Q03940, Q04003, Q04779, Q05123, Q06337, Q06629, Q06639, Q07457, Q07458, Q08649, Q08923, Q12692, Q99314
Repressor	o	2.939	1.247	2.357	33	1123	14	1123	0.00731	0.149	P06843, P14922, P16649, P21957, P22579, P31385, P32558, P32561, P34161, P36124, P38144, P38255, P38351, P38931, P39001, P39073, P39956, P40489, P40505, P40535, P41814, P53973, Q01448, Q02642, Q03833, Q04003, Q04116, Q04779, Q06629, Q07458, Q08923, Q12514, Q99314
Exonuclease	o	0.623	0.267	2.333	7	1123	3	1123	0.343	1	P15436, P22147, P26793, Q02792, Q08162, Q08237, Q12149
Transcription regulation	o	11.487	4.987	2.304	129	1123	56	1123	2.25e-08	1.37e-06	O14467, P06843, P07248, P09959, P11632, P11633, P12383, P13574, P14164, P14922, P16649, P17106, P17629, P18480, P18888, P19263, P19659, P20134, P21538, P21957, P22035, P22082, P22579, P23255, P23615, P25302, P25502, P25554, P29055, P29056, P31385, P32432, P32447, P32494, P32558, P32561, P32591, P32597, P32657, P32776, P32832, P33417, P34161, P35177, P35189, P35817, P36053, P36124, P38129, P38144, P38255, P38351, P38931, P39001, P39073, P39520, P39521, P39678, P39956, P40154, P40161, P40470, P40489, P40505, P40535, P40553, P41696, P41895, P41896, P43572, P43579, P43609, P46678, P50105, P53040, P53063, P53064, P53114, P53165, P53438, P53552, P53628, P53946, P53973, P80428, P89105, Q01448, Q02206, Q02336, Q02642, Q02792, Q02908, Q03280, Q03330, Q03661, Q03750, Q03761, Q03833, Q03940, Q03973, Q04003, Q04116, Q04226, Q04545, Q04673, Q04779, Q05021, Q05123, Q05543, Q05958, Q06337, Q06505, Q06629, Q06639, Q06697, Q07458, Q07794, Q08421, Q08649, Q08887, Q08923, Q12060, Q12159, Q12345, Q12363, Q12433, Q12514, Q12692, Q99314
Activator	o	3.740	1.781	2.100	42	1123	20	1123	0.00639	0.145	P06843, P07248, P09959, P12383, P13574, P14164, P18480, P18888, P19263, P19659, P22035, P22082, P22579, P25502, P29056, P32558, P32591, P33417, P33892, P35177, P36124, P38351, P38931, P39001, P39073, P39678, P46678, P53064, P53114, P53628, P80428, P89105, Q03330, Q03833, Q03940, Q05958, Q06337, Q06697, Q08649, Q08887, Q12514, Q12692
Transcription	o	12.556	6.233	2.014	141	1123	70	1123	3.31e-07	1.68e-05	O14467, P06843, P07248, P09959, P10964, P11632, P11633, P12383, P13393, P13574, P14164, P14922, P16649, P17106, P17629, P17890, P18480, P18888, P19263, P19659, P20134, P21538, P21957, P22035, P22082, P22138, P22579, P23255, P23615, P25302, P25441, P25502, P25554, P27692, P29055, P29056, P31385, P32432, P32447, P32494, P32558, P32561, P32591, P32597, P32657, P32776, P32832, P33417, P34161, P35177, P35189, P35817, P36053, P36124, P38129, P38144, P38255, P38351, P38882, P38931, P39001, P39073, P39520, P39521, P39678, P39956, P40154, P40161, P40470, P40489, P40505, P40535, P40553, P41696, P41895, P41896, P43572, P43579, P43609, P46669, P46678, P47006, P50105, P53040, P53063, P53064, P53114, P53165, P53276, P53438, P53552, P53628, P53946, P53973, P80428, P89105, Q01080, Q01448, Q02206, Q02336, Q02642, Q02792, Q02908, Q03280, Q03330, Q03661, Q03750, Q03761, Q03833, Q03940, Q03973, Q04003, Q04116, Q04226, Q04545, Q04673, Q04779, Q05021, Q05123, Q05543, Q05958, Q06337, Q06505, Q06629, Q06639, Q06679, Q06697, Q07458, Q07794, Q08421, Q08649, Q08887, Q08923, Q12060, Q12159, Q12345, Q12363, Q12433, Q12514, Q12692, Q99314
Helicase	o	2.671	1.336	2.000	30	1123	15	1123	0.0339	0.449	P06634, P10081, P15424, P20447, P20448, P20449, P22082, P24384, P24783, P32597, P32639, P32657, P32892, P35187, P36009, P38086, P38112, P38144, P38859, P39517, P40562, P41896, P47047, Q00416, Q03532, Q03940, Q04217, Q06218, Q07478, Q12389
ANK repeat	o	0.534	0.267	2.000	6	1123	3	1123	0.507	1	P09959, P17442, P25302, P25631, P39010, P39678
