foreground	background
P0A7D7	P0A7D7
P0A7S3	P0A7S3
P0A705	P0A705
P0AG67	P0AG67
P05793	P05793
P64467	P64467
P0CE47	P0CE47
P0A6P1	P0A6P1
P25665	P25665
P0A853	P0A853
P0A7L8	P0A7L8
P0AD96	P0AD96
P12281	P12281
P0A7Z0	P0A7Z0
P62707	P62707
P31057	P31057
P0AE88	P0AE88
P37051	P37051
P0ABD3	P0ABD3
P0A8N5	P0A8N5
P0A884	P0A884
P31120	P31120
P0A9M0	P0A9M0
P00909	P00909
P0ACC7	P0ACC7
P0A6P7	P0A6P7
P69908	P69908
P06721	P06721
P64594	P64594
P63284	P63284
P29745	P29745
P00864	P00864
P0A6H5	P0A6H5
P0AFI7	P0AFI7
P0A9B2	P0A9B2
P0AB89	P0AB89
P0A7A9	P0A7A9
P60438	P60438
P61949	P61949
P0A6Z3	P0A6Z3
P07649	P07649
P77454	P77454
P0A9T0	P0A9T0
P04425	P04425
P36659	P36659
P0A9Q7	P0A9Q7
P06987	P06987
P0A6R0	P0A6R0
P0ABJ9	P0ABJ9
P09373	P09373
P0AA04	P0AA04
P27126	P27126
P75828	P75828
P0AC47	P0AC47
P37590	P37590
P0A832	P0A832
P33355	P33355
P77581	P77581
P0A955	P0A955
P0A993	P0A993
P0ACY3	P0ACY3
P52643	P52643
P18843	P18843
P11875	P11875
P0A8N3	P0A8N3
P39280	P39280
P0AG24	P0AG24
P0A799	P0A799
P0AFR4	P0AFR4
P06959	P06959
P30177	P30177
P00962	P00962
P0AES4	P0AES4
P0ADE6	P0ADE6
P0ABH7	P0ABH7
P21165	P21165
P00561	P00561
P17854	P17854
P0AAH4	P0AAH4
P0A951	P0A951
P0A6P9	P0A6P9
P0C0L2	P0C0L2
P0A9T4	P0A9T4
P76402	P76402
P09151	P09151
P0A715	P0A715
P75728	P75728
P0A761	P0A761
P37313	P37313
P0A8M6	P0A8M6
P42596	P42596
P12758	P12758
P0AGJ9	P0AGJ9
P00959	P00959
P33221	P33221
P21599	P21599
P05459	P05459
P0AFL6	P0AFL6
P08200	P08200
P36938	P36938
P23830	P23830
P0A6V8	P0A6V8
P0A7D4	P0A7D4
P04079	P04079
P0A786	P0A786
P37634	P37634
P0A7E5	P0A7E5
P32684	P32684
P29217	P29217
P31663	P31663
P0C8J6	P0C8J6
P30139	P30139
P06149	P06149
P0A8V2	P0A8V2
P0A7B1	P0A7B1
P27129	P27129
P0ABU2	P0ABU2
P0A988	P0A988
P75691	P75691
P0A6L9	P0A6L9
P0A776	P0A776
P15042	P15042
P15639	P15639
P00509	P00509
P0AB83	P0AB83
P36767	P36767
P0A9P0	P0A9P0
P76290	P76290
P0A991	P0A991
P0ADR8	P0ADR8
P0AFU8	P0AFU8
P0A6L2	P0A6L2
P23869	P23869
P05852	P05852
P00579	P00579
P16681	P16681
P15254	P15254
P04693	P04693
P0ABB0	P0ABB0
P33570	P33570
P0A6L0	P0A6L0
P0AB77	P0AB77
P36879	P36879
P00960	P00960
P60757	P60757
P0A9C5	P0A9C5
P0A7S9	P0A7S9
P0ADG7	P0ADG7
P76143	P76143
P77689	P77689
P60720	P60720
P36673	P36673
P0ABF1	P0ABF1
P0A7Y8	P0A7Y8
P0AC92	P0AC92
P00370	P00370
P0ACJ8	P0ACJ8
P0A9G6	P0A9G6
P76491	P76491
P25888	P25888
P00895	P00895
P65556	P65556
P0A784	P0A784
P27250	P27250
P31133	P31133
P0AE78	P0AE78
P0AD61	P0AD61
P07813	P07813
P0AGD3	P0AGD3
P0A877	P0A877
P0A6E4	P0A6E4
P0AA41	P0AA41
P0AA39	P0AA39
P63177	P63177
