# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr	ANs_study	ANs_pop
GO:0000001	p	mitochondrion inheritance	7/1159	10/1159	0.628	1.62e+03	1.36e+03	1.58e+03	n.a.	P17536,P21147,P40961,P47117,P60010,Q02486,Q05933	P17536,P19524,P21147,P32266,P32381,P33204,P35182,P39722,P40414,P40518,P40961,P47117,P48524,P48559,P50085,P53731,P54861,P60010,Q00402,Q01846,Q02486,Q05933,Q06324,Q06504,Q12171,Q12387
GO:0000002	e	mitochondrial genome maintenance	11/1159	8/1159	0.646	1.66e+03	1.4e+03	1.62e+03	n.a.	P06168,P19262,P19414,P32445,P32787,P33416,P35191,P38988,P39952,Q02486,Q04013	P06168,P07271,P13433,P18409,P19262,P19414,P25846,P32266,P32445,P32787,P32843,P33416,P35191,P38127,P38766,P38988,P39515,P39677,P39952,P40156,P41800,P47025,P47155,P48237,P54964,Q02486,Q03652,Q04013,Q06109,Q06630
GO:0000009	p	alpha-1,6-mannosyltransferase activity	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P47124	P23642,P31755,P32629,P39107,P46985,P47124,P50108,P53730
GO:0000011	p	vacuole inheritance	5/1159	7/1159	0.774	1.99e+03	1.61e+03	1.94e+03	n.a.	P17536,P22217,P32939,P39968,P60010	P17536,P19524,P22217,P22219,P22803,P23643,P32854,P32939,P36017,P38932,P39968,P40414,P48562,P54787,P60010,Q03497
GO:0000014	p	single-stranded DNA endodeoxyribonuclease activity	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38859	P06777,P06838,P07276,P33753,P38859
GO:0000015	p	phosphopyruvate hydratase complex	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P00924,P00925	P00924,P00925
GO:0000019	e	regulation of mitotic recombination	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P06786	
GO:0000022	e	mitotic spindle elongation	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32504,P38833	P11709,P27895,P28742,P32504,P36164,P38833,P39723,P50623
GO:0000023	e	maltose metabolic process	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P38157	
GO:0000025	e	maltose catabolic process	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P38158	
GO:0000027	e	ribosomal large subunit assembly	18/1159	13/1159	0.47	1.21e+03	1.1e+03	1.18e+03	n.a.	P04456,P05317,P05739,P0C0W9,P0CH08,P0CX53,P14126,P26321,P32892,P33201,P36160,P38803,P38805,P38883,P41805,Q02326,Q05942,Q08237	P04456,P05317,P05739,P0C0W9,P0CX53,P14126,P20484,P25382,P25808,P26321,P32892,P33201,P35184,P36160,P38789,P38803,P38805,P38883,P41805,P53145,P53877,Q02256,Q02326,Q05942,Q08235,Q08237,Q08932,Q12019,Q12153,Q12176
GO:0000028	p	ribosomal small subunit assembly	5/1159	6/1159	1	2.57e+03	1.19e+03	2.51e+03	n.a.	P02407,P05759,P0CX47,P27476,P35997	P02407,P05759,P06367,P0CX47,P25368,P27476,P32905,P35997,P39516,P39524,P46654
GO:0000032	p	cell wall mannoprotein biosynthetic process	3/1159	5/1159	0.726	1.87e+03	1.53e+03	1.82e+03	n.a.	P29952,P41940,P47124	P23642,P26725,P27809,P29952,P32629,P38210,P39107,P41940,P46984,P46985,P47124,P50108,Q07950,Q3E7B6
GO:0000034	e	adenine deaminase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P53909	
GO:0000036	e	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P32463	
GO:0000042	e	protein targeting to Golgi	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q06704	
GO:0000048	e	peptidyltransferase activity	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P12687	
GO:0000049	e	tRNA binding	9/1159	8/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P15565,P15625,P33399,P38205,P40825,P46672,P48525,P53276,Q08162	P07884,P08425,P15442,P15565,P15625,P25038,P32481,P33399,P33418,P38205,P38874,P40825,P46672,P48525,P53088,P53276,P53923,Q02884,Q04868,Q06706,Q08162,Q12009,Q12093,Q12453,Q12463,Q12532
GO:0000054	p	ribosomal subunit export from nucleus	5/1159	5/1159	1	2.57e+03	1.88e+03	2.51e+03	n.a.	P11484,P32527,P38883,Q02892,Q03195	P11484,P11745,P21827,P32527,P38883,P40150,P53145,Q02892,Q03195,Q12522
GO:0000055	e	ribosomal large subunit export from nucleus	12/1159	7/1159	0.357	920	860	897	n.a.	P0CH08,P14907,P20676,P30822,P38805,P39715,P40010,P53313,P53742,Q06338,Q08746,Q12080	P14907,P20676,P30822,P34077,P34232,P35729,P38805,P38861,P39715,P40010,P40368,P40477,P46673,P53313,P53742,P53863,Q02199,Q02630,Q03862,Q06338,Q07844,Q08004,Q08746,Q12080,Q99257
GO:0000056	e	ribosomal small subunit export from nucleus	6/1159	5/1159	1	2.57e+03	1.19e+03	2.51e+03	n.a.	P05750,P14907,P25627,P40024,P40517,P47077	P05750,P14907,P25627,P34078,P34232,P40024,P40368,P40477,P40517,P46683,P47077,P53251,Q12055,Q99257
GO:0000060	p	protein import into nucleus, translocation	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P10591	P10591
